id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
28,"ICICI Bank Free Msg: Your bill is paid. Thanks, here's a little gift for you: bedy13.com/update",spam,link_fraud,fake_billing_link,en,link_only,,+91 8800XXXX12,synthetic_v2,1,upi_payment_fraud
40,"SBI Free Msg: Your bill is paid. Thanks, here's a little gift for you: cutt.ly/fakeapp",spam,link_fraud,fake_billing_link,en,link_only,,AX-PWRBIL,synthetic_v2,1,upi_payment_fraud
97,"You have received a cashback of Rs 500 from Paytm Cashback..
कृपया त्वरित कारवाई करा , अन्यथा तुमचे कनेक्शन तोडले जाईल.
खालील पीडीएफ फाईल उघडून तुमचे तपशील तपासा.
[फॉरवर्ड केलेले] Paytm_Cashback.apk  14 MB . APK",spam,apk_fraud,upi_cashback,mr,pdf_then_apk,Paytm Cashback,AD-ICICIB,synthetic_v2,1,upi_payment_fraud
98,"आदरणीय ग्राहक,
You have received a cashback of Rs 2000 from UPI Rewards.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,mr,link_apk,UPI Rewards,VK-INDPST,synthetic_v2,1,upi_payment_fraud
110,"You have received a cashback of Rs 25000 from UPI Rewards.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,mr,link_apk,UPI Rewards,JD-ITAXRF,synthetic_v2,1,upi_payment_fraud
122,"Axis Bank Free Msg: Your bill is paid. Thanks, here's a little gift for you: E5NBU.XYZ/CLAIM",spam,link_fraud,fake_billing_link,en,link_only,,+91 8800XXXX12,synthetic_v2,1,upi_payment_fraud
151,"You have received a cashback of Rs 25000 from UPI Rewards.
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,hi,link_apk,UPI Rewards,+91 7700XXXX45,synthetic_v2,1,upi_payment_fraud
173,"Dear Customer, You have received a cashback of Rs 500 from Paytm Cashback. Kindly respond today itself, otherwise your connection will be disconnected. Please check the attached file for full details and open it to proceed.
[Forwarded] Paytm_Cashback.apk  14 MB . APK",spam,apk_fraud,upi_cashback,en,attached_file_no_link,Paytm Cashback,VM-SBIBNK,synthetic_v2,1,upi_payment_fraud
177,"Dear Vehicle Owner, INR 1000 was debited from your Paytm Payments Bank account. If this was not done by you, secure your account now. Kindly respond right now to avoid penalty, otherwise you will lose this offer. Click and open the pdf file below and check your details.
[Forwarded] Paytm_Secure.apk  14 MB . APK",spam,apk_fraud,bank_alert,en,pdf_then_apk,Paytm Payments Bank,INFO-GOVT,synthetic_v2,1,upi_payment_fraud
191,"प्रिय ग्राहक,
You have received a cashback of Rs 200 from PhonePe Rewards.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,upi_cashback,mr,vishing_callback,PhonePe Rewards,VK-LOANAP,synthetic_v2,1,upi_payment_fraud
