text,label
هل ترغب في أن تكون متعطشًا؟ :),ham
"Priya Grahak, Aapka India Post parcel tracking GB-6409-F94 address adhura hone ki wajah se deliver nahi ho paya. aaj hi jawab de, nahi to connection cut ho jayega. Niche di gayi pdf file kholkar apni details check kare. [Forwarded] IndiaPost_Track.apk 14 MB . APK",spam
"Hello Vikram, ur FEDEX package with tracking code GB-4173-C93 is waiting for you to set delivery preferences: cutt.ly/fakeapp",spam
"प्रिय उपयोगकर्ता, असामान्य लॉगिन गतिविधि के कारण आपका WhatsApp खाता निलंबित किया जा सकता है। कृपया तुरंत कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें। [अग्रेषित] WhatsApp_Verify.apk",spam
أوبس - أنا في أمي في Somerset... قليلاً بعيداً!,ham
ਇਸ ਲਈ ਕਿਸੇ ਵੀ ਸਹੀ ਹੈ. ਇਸ ਲਈ ਨਕਸ਼ੇ ਨਹੀਂ,ham
"प्रिय ग्राहक, Your WhatsApp account will be suspended due to unusual login activity. कृपया त्वरित कारवाई करा, अन्यथा तुमचे खाते बंद होईल. या संदेशासोबत जोडलेला क्यूआर कोड स्कॅन करा आणि त्वरित पडताळणी करा.",spam
"Priya Grahak, Congratulations! QuickLoan Finance se RS 50000 ka pre-approved offer mila hai. turant jawab de, nahi to connection cut ho jayega. Niche di gayi pdf file kholkar apni details check kare. [Forwarded] Loan_Approval.apk 14 MB . APK",spam
"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",ham
قصة حزينة عن رجل - الأسبوع الماضي كان يومي ب. زوجتي لم تكن تريدني. نسيت والدي ذلك فعلت أطفالي. ذهبت إلى العمل. حتى زملائي لم تكن تريد.,ham
"அன்புள்ள வாடிக்கையாளர், Disney+ Hotstar: Your membership has expired. தயவுசெய்து 24 மணி நேரத்திற்குள் நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும். கீழே உள்ள இணைப்பிலிருந்து ஆப்பை நிறுவவும். hotstar-renew.info Hotstar_Renew.apk",spam
So u workin overtime nigpun?,ham
"Your BlueDart parcel with tracking code GB-7125-E57 could not be delivered due to incomplete address. Kindly respond within 3 days or legal action will be taken, otherwise your service will be suspended permanently. Click and open the pdf file below and check your details. [Forwarded] BlueDart_Track.apk 14 MB . APK",spam
نہیں، میں نے اسے پوسٹ کرنے کا مطلب نہیں تھا، میں نے اسے لکھا، اور بہت سے دوسرے وقتوں کی طرح میں نے آپ کے لئے چیزوں کو ریتن کیا ہے، میں اسے وہاں بیٹھنے کی اجازت دیتا ہوں، یہ وہی ہے جو میں نے اس وقت محسوس کیا تھا، میں غصہ میں تھا، اس سے پہلے کہ میں چلا گیا، میں نے ٹکٹ بھیج دیا، پھر روک دیا، وہاں نہیں تھا، میں نے اپنے فون پر چیک کیا جب میں نے اپنی گاڑی میں پہنچا. یہ وہاں نہیں تھا.,ham
جب وہ کہتا ہے کہ میں آپ کو سلام کرتا ہوں,ham
"Attention Customer, A traffic rules violation has been recorded against your vehicle. Fine amount: Rs 500. Challan Number: CH98172626. Please act within 24 hours or your service will be suspended permanently. Please check the attached file for full details and open it to proceed. [Forwarded] VAHAN_PARIVAHAN.apk 14 MB . APK",spam
आपण एक मुलगा बनू शकता yo tho,ham
"প্রিয় গ্রাহক, অভিনন্দন! QuickLoan Finance থেকে 50000 টাকার প্রাক-অনুমোদিত অফারের জন্য আপনি যোগ্য। অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে। We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam
"Dear Vehicle Owner, Your Google Account account will be suspended due to unusual login activity. Kindly respond immediately, otherwise your account will be blocked. Please check the attached file for full details and open it to proceed. [Forwarded] Google_Secure.apk 14 MB . APK",spam
"PhonePe Rewards இலிருந்து ரூ 200 கேஷ்பேக் பெற்றுள்ளீர்கள். தயவுசெய்து 24 மணி நேரத்திற்குள் நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும். தயவுசெய்து இணைக்கப்பட்ட கோப்பைப் பார்த்து தொடர அதைத் திறக்கவும். [அனுப்பப்பட்டது] PhonePe_Reward.apk 14 MB . APK",spam
محترم گاہک، آپ کا Power Distribution Co بجلی کا بل 2000 روپے واجب الادا ہے۔ براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔ Scan the QR code attached to this message to complete verification instantly.,spam
"Priya Grahak, Congratulations! QuickLoan Finance se Rs 25000 ka pre-approved offer mila hai. Kripya 24 ghante ke andar action le, warna legal action hoga. Niche diye link se app install kare. quickloan-approve.xyz Loan_Approval.apk",spam
Hmmm...k...but I want to change the field quickly da:-)I want to get system administrator or network administrator..,ham
ٹھیک ہے ۔ آپ کو اس بات کا یقین نہیں ہے کہ آپ کلاس سے پہلے لائبریری تک پہنچ سکتے ہیں یا نہیں ۔ میں کوشش کروں گا ۔ آپ کو ایک لمحے میں دیکھیں گے ۔ اچھا دن ہے ۔,ham
"ICICI Bank FREE Msg: Your bill is paid. Thanks , here's a little gift for you: tinyurl.com/y8mfraud",spam
"प्रिय उपयोगकर्ता, असामान्य लॉगिन गतिविधि के कारण आपका WhatsApp खाता निलंबित किया जा सकता है। कृपया तुरंत कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें। [अग्रेषित]",spam
"अरे... महान सौदा... Bam Bam Bam 9 mar 5000/px, 16 मई तक $50 जमा करने के लिए",ham
"ਪਿਆਰੇ ਗਾਹਕ, Your FedEx parcel with tracking code GB-7265-F68 could not be delivered due to incomplete address. ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process. [Forwarded] FedEx_Delivery.apk",spam
ماذا يقول الطبيب؟ أين أنت؟ ماذا يقول الطبيب؟ أين أنت؟,ham
"You have recieved a cashback of Rs 1000 from PhonePe Rewards. Kindly respond today itself , otherwise your account will be blocked. Click the link below and install the app to proceed. phonepe-reward.info PhonePe_Reward.apk",spam
Ok.. वहाँ के बारे में एक मुफ्त संरक्षा हो सकता है.,ham
"प्रिय उपयोगकर्ता, Disney+ Hotstar: Your membership has expired. कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam
"Rats. Hey, You ever voted for the next themes?",ham
"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ, Your electricity bill of Rs 200 with Power Distribution Co is pending. ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ। [ਅੱਗੇ ਭੇਜਿਆ] PowerPay_App.apk 14 MB . APK",spam
"ارتفاع الثقة: كل الأساتذة الطيران الذين يدعون &amp; هم الذين يسألون 2 الجلوس في طائرة. Aftr يجلسون هم الذين قالوا أن الطائرة ws صنع من قبل طلابهم. Dey الجميع عاجلا من الطائرة.. Bt فقط 1 فعلت الحركة... قال:""إذا كان من قبل طلابي, هذا لن يبدأ حتى ....",ham
"Hello Amit, your FEDEX package with tracking code GB-4970-F64 is waiting for you to set delivery preferences: bit.ly/3xK9pL",spam
آپ صحیح ہیں؟ اس کے باوجود، کس طرح پروجیکٹ دوہری آتے ہیں,ham
"आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 750। चालान संख्या: CH16751040। कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam
"Dear Customer, You have received a cashback of Rs 500 from Paytm Cashback. Kindly respond today itself, otherwise your connection will be disconnected. Please check the attached file for full details and open it to proceed. [Forwarded] Paytm_Cashback.apk 14 MB . APK",spam
"Aapka BlueDart parcel tracking GB-7519-A64 address adhura hone ki wajah se deliver nahi ho paya. Kripya 24 ghante ke andar action le, warna aapka account block ho jayega. Attached file check kare aur use khol kar aage badhe. [Forwarded] BlueDart_Track.apk 14 MB . APK",spam
"Priya Grahak, Aapka Axis Bank KYC expire ho gaya hai aur dobara verify karna zaroori hai. Kripya aaj hi action le, warna aapka account block ho jayega. Niche diye link se app install kare. axis-secure-bank.tk Axis_Secure.apk",spam
"শ্রদ্ধেয় গ্রাহক, আপনার গাড়ির বিরুদ্ধে একটি ট্রাফিক নিয়ম লঙ্ঘন রেকর্ড করা হয়েছে। জরিমানা: 5000 টাকা। চালান নম্বর: CH74450415। অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে। নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন। parivahan-sewa..tk/verify ParivahanSewa.apk",spam
"ਪਿਆਰੇ ਗਾਹਕ, Your electricity bill of Rs 50000 with State Electricity Board is pending. ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam
"Dear Customer, Your Axis Bank KYC has expired and needs re-verification. Kindly respond today itself, otherwise you will lose this offer. We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam
"Priya Grahak, Asamanya login activity ki wajah se aapka WhatsApp account suspend ho sakta hai. 24 ghante ke andar jawab de, nahi to connection cut ho jayega. Niche diye link se app install kare. whatsapp-verify-acc.xyz WhatsApp_Verify.apk",spam
"INR 500 was debited from your Paytm Payments Bank acount. If this was not done by you, secure your account now. ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process. [Forwarded]",spam
In fact when do you leave? I think addie goes back to school tues or wed,ham
"आदरणीय ग्राहक, आपका Axis Bank केवाईसी समाप्त हो गया है और इसे पुनः सत्यापित करना आवश्यक है। कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। axis-secure-bank.tk Axis_Secure.apk",spam
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham
"Namaste Customer , Congratulations! QuickLoan Finance se Rs 200 ka pre-approved offer mila hai. turant jawab de, nahi to connection cut ho jayega. Attached file check kare aur use khol kar aage badhe. [Forwarded] Loan_Approval.apk 14 MB . APK",spam
Why d. You look good only. (ਮੁਣੇ ਹੀ ਤੁਹਾਨੂੰ ਚੰਗਾ ਹੋ ਸਕਦੀ ਹੈ),ham
"Dear Sir/Madam, Your PNB KYC has expired and needs re-verification. Kindly respond within 24 hours, otherwise your connection will be disconnected. There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process. [Forwarded] PNB_eKYC.apk",spam
ਚੀਨ ਨੂੰ ਲਾਈਨ ਕਰਨ ਲਈ ਚਾਹੁੰਦੇ ਹੋ :),ham
"आदरणीय ग्राहक, Your WhatsApp account will be suspended due to unusual login activity. कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल. खालील लिंकवरून अॅप इंस्टॉल करा. whatsapp-verify-acc.xyz WhatsApp_Verify.apk",spam
Congratulations! You are eligible for a pre-approved offer of Rs 1000 from HR Recruitment Cell. براہ کرم فوری طور پر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔ براہ کرم منسلک فائل دیکھیں اور آگے بڑھنے کے لیے اسے کھولیں۔ [فارورڈ شدہ] Job_Portal.apk 14 MB . APK,spam
"Hello Pooja, your FEDEX package with tracking code GB-1386-D89 is waiting for you to set delivery preferences: e5nbu.xyz/claim",spam
"প্রিয় গ্রাহক, Your Google Account account will be suspended due to unusual login activity. অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে। We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam
Was playng 9 doors game and gt racing on phone lol,ham
आपल्या आईच्या पीएचमध्ये परत आहे का?,ham
"आपका FedEx पार्सल ट्रैकिंग कोड GB-9723-D88 अधूरे पते के कारण वितरित नहीं किया जा सका। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। fedex-delivery-in.xyz FedEx_Delivery.apk",spam
الحبيب يحصل على الحافلة مباشرة إلى كاليكوت,ham
محترم گاہک، You have recieved a cashback of Rs 50000 from Paytm Cashback. براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔ براہ کرم منسلک فائل دیکھیں اور آگے بڑھنے کے لیے اسے کھولیں۔ [فارورڈ شدہ] Paytm_Cashback.apk 14 MB . APK,spam
मुझे यकीन नहीं है रात मेन्यू के बारे में मैं केवल दोपहर के मेन्यू के बारे में जानता हूँ,ham
"आदरणीय ग्राहक, आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 25000। चालान संख्या: CH74529989। कृपया तुरंत कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। parivahan-sewa.tk/verify ParivahanSewa.apk",spam
"प्रिय ग्राहक, Congratulations! You are eligible for a pre-approved offer of Rs 1000 from InstaCredit. कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें। [अग्रेषित] InstaCredit.apk 14 MB . APK",spam
