id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
26,"Namaste Customer, Aapka India Post parcel tracking GB-3394-C90 address adhura hone ki wajah se deliver nahi ho paya. Kripya jaldi se jaldi action le, warna aapka account block ho jayega. Is message ke sath attach QR code scan kare aur turant verify kare.",spam,apk_fraud,courier,hg,qr_code,India Post,VK-INDPST,synthetic_v2,0,direct_apk_download
66,"Namaste Customer, Aapka BlueDart parcel tracking GB-2008-D79 address adhura hone ki wajah se deliver nahi ho paya. aaj hi jawab de, nahi to connection cut ho jayega. Aapke recent request ke baare me ek zaroori update hai. Niche diya document kholkar process complete kare.
[Forwarded] BlueDart_Track.apk",spam,apk_fraud,courier,hg,no_explicit_app_word,BlueDart,AD-ICICIB,synthetic_v2,0,direct_apk_download
117,"শ্রদ্ধেয় গ্রাহক,
আপনার BlueDart পার্সেল ট্র্যাকিং কোড GB-2667-E61 অসম্পূর্ণ ঠিকানার কারণে ডেলিভার করা যায়নি।
অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
নিচের পিডিএফ ফাইলটি খুলে আপনার বিবরণ পরীক্ষা করুন।
[ফরওয়ার্ড করা হয়েছে] BlueDart_Track.apk  14 MB . APK",spam,apk_fraud,courier,bn,pdf_then_apk,BlueDart,VM-SBIBNK,synthetic_v2,0,direct_apk_download
133,"आदरणीय ग्राहक,
आपका India Post पार्सल ट्रैकिंग कोड GB-4027-G18 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
indiapost-track.info
IndiaPost_Track.apk",spam,apk_fraud,courier,hi,link_apk,India Post,AD-NETFLX,synthetic_v2,0,direct_apk_download
156,"Dear User, Your DTDC Courier parcel with tracking code GB-2340-A38 could not be delivered due to incomplete address. Kindly respond immediately, otherwise your service will be suspended permanently. We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,courier,en,vishing_callback,DTDC Courier,VK-INDPST,synthetic_v2,0,direct_apk_download
170,"प्रिय ग्राहक, आपका DTDC Courier पार्सल ट्रैकिंग कोड GB-5070-E27 अधूरे पते के कारण वितरित नहीं किया जा सका। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। dtdc-parcel-track.in DTDC_Parcel.apk",spam,apk_fraud,courier,hi,link_apk,DTDC Courier,VK-LOANAP,synthetic_v2,0,direct_apk_download
178,"ਪਿਆਰੇ ਗਾਹਕ ,
Your BlueDart parcel with tracking code GB-5202-F67 could not be delivered due to incomplete address.
ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ।
[ਅੱਗੇ ਭੇਜਿਆ] BlueDart_Track.apk  14 MB . APK",spam,apk_fraud,courier,pa,attached_file_no_link,BlueDart,+91 7700XXXX45,synthetic_v2,0,direct_apk_download
180,"प्रिय उपयोगकर्ता,
आपका DTDC Courier पार्सल ट्रैकिंग कोड GB-7293-E78 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] DTDC_Parcel.apk  14 MB . APK",spam,apk_fraud,courier,hi,attached_file_no_link,DTDC Courier,VK-INDPST,synthetic_v2,0,direct_apk_download
182,"प्रिय ग्राहक,
तुमचे BlueDart पार्सल ट्रॅकिंग कोड GB-8859-H15 अपूर्ण पत्त्यामुळे वितरित होऊ शकले नाही.
कृपया त्वरित कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] BlueDart_Track.apk  14 MB . APK",spam,apk_fraud,courier,mr,attached_file_no_link,BlueDart,+91 7700XXXX45,synthetic_v2,0,direct_apk_download
192,"Attention Customer, Your India Post parcel with tracking code GB-2719-G29 could not be delivered due to incomplete address. Kindly respond before midnight, otherwise you will lose this offer. Click and open the pdf file below and check your details.
[Forwarded] IndiaPost_Track.apk  14 MB . APK",spam,apk_fraud,courier,en,pdf_then_apk,India Post,VK-UPIRWD,synthetic_v2,0,direct_apk_download
