id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source
1,ہم دوش میں کیا کریں گے بیٹا؟,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
2,Was playng 9 doors game and gt racing on phone lol,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
3,"Priya Grahak, Aapka ICICI Bank KYC expire ho gaya hai aur dobara verify karna zaroori hai. Kripya turant action le, warna connection cut ho jayega. Aapse contact karne ki koshish ki thi. Niche diye number par call kare, hamara representative aapko verification process me guide karega.",spam,apk_fraud,bank_kyc,hg,vishing_callback,ICICI Bank,AD-NETFLX,synthetic_v2
4,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
5,Badhai ho! Aapne Rs 25000 ka prize jeeta hai. Abhi claim kare tinyurl.com/y8mfraud par warna offer khatam ho jayega.,spam,link_fraud,prize_link,hg,link_only,,AX-PWRBIL,synthetic_v2
6,এটা শুধু অনুভূতি প্রভাব. শুধু এটি ignorate,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
7,في الساعة الثالثة صباحاً، سأذهب إلى المستشفى.,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
8,"Hello Amit, your FEDEX package with tracking code GB-4970-F64 is waiting for you to set delivery preferences: bit.ly/3xK9pL",spam,link_fraud,fake_delivery_link,en,link_only,,VK-LOANAP,synthetic_v2
9,माफी माफी माफी माफी माफी माफी माफी माफी माफी माफी माफी माफी,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
10,"Namaste Customer, Aapke RBL Bank account se Rs 200 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. Kripya aaj hi action le, warna connection cut ho jayega. Niche diye link se app install kare.
rbl-protect-acc.info
RBL_Protect.apk",spam,apk_fraud,bank_alert,hg,link_apk,RBL Bank,INFO-GOVT,synthetic_v2
11,"আপনার SBI কেওয়াইসি মেয়াদ শেষ হয়ে গেছে এবং পুনরায় যাচাই করা প্রয়োজন।
অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
নিচের পিডিএফ ফাইলটি খুলে আপনার বিবরণ পরীক্ষা করুন।
[ফরওয়ার্ড করা হয়েছে] SBI_Secure.apk  14 MB . APK",spam,apk_fraud,bank_kyc,bn,pdf_then_apk,SBI,VK-UPIRWD,synthetic_v2
12,Your OTP for a transaction of INR 200 is 8262. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2
13,"ਅਸਾਧਾਰਨ ਲੌਗਇਨ ਗਤੀਵਿਧੀ ਕਾਰਨ ਤੁਹਾਡਾ WhatsApp ਖਾਤਾ ਮੁਅੱਤਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ , ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ।
whatsapp-verify-acc.xyz
WhatsApp_Verify.apk",spam,apk_fraud,security_verify,pa,link_apk,WhatsApp,AD-NETFLX,synthetic_v2
14,Congratulations! You have WON a cash prize of Rs 25000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-RTOGOV,synthetic_v2
15,"محترم گاہک،
Your WhatsApp account will be suspended due to unusual login activity.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
whatsapp-verify-acc.xyz
WhatsApp_Verify.apk",spam,apk_fraud,security_verify,ur,link_apk,WhatsApp,AD-NETFLX,synthetic_v2
16,यासाठी नोकरी करायचा आहे. &lt;#&gt; ?,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
17,"আমরা যখন দেখি, তখনও তখনও তখনও তখনও দেখি।",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
18,"प्रिय उपयोगकर्ता , असामान्य लॉगिन गतिविधि के कारण आपका Google Account खाता निलंबित किया जा सकता है। कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] Google_Secure.apk 14 MB . APK",spam,apk_fraud,security_verify,hi,pdf_then_apk,Google Account,AX-PWRBIL,synthetic_v2
19,"عزیز صارف،
آپ کی گاڑی کے خلاف ٹریفک قوانین کی خلاف ورزی درج کی گئی ہے۔ جرمانہ: 25000 روپے۔ چالان نمبر: CH76659467۔
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
parivahan-gov.xyz/challan
VAHAN_PARIVAHAN.apk",spam,apk_fraud,rto_challan,ur,link_apk,Parivahan / RTO Traffic Police,VK-LOANAP,synthetic_v2
20,"बैल मुझे एक दिन के लिये ग्रहण करता है, या तुम से भीख माँग रहा है कि संख्या बदल जाए।",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
21,"Dear Vehicle Owner, Income Tax Dept e-Filing: You are eligible for a refund of Rs 2000. Kindly respond today itself, otherwise your account will be blocked. Click the link below and install the app to proceed.
it-refund-portal.info
IT_Refund_Portal.apk",spam,apk_fraud,govt_refund,en,link_apk,Income Tax Dept e-Filing,INFO-GOVT,synthetic_v2
22,", और उन्हें अलग अलग - अलग बिंदुओं से उठाने के लिए 2 oville जाना और वे मोटर परियोजना 4 घंटे 4 घंटे करेंगे और फिर उन्हें घर ले जाएगा ।",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
23,"Priya Grahak, Congratulations! QuickLoan Finance se Rs 5000 ka pre-approved offer mila hai. Kripya jaldi se jaldi action le, warna aapka account block ho jayega. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] Loan_Approval.apk  14 MB . APK",spam,apk_fraud,loan_job,hg,pdf_then_apk,QuickLoan Finance,AX-PWRBIL,synthetic_v2
24,Your OTP for a transaction of INR 25000 is 8566. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-SBIBNK,synthetic_v2
25,"শ্রদ্ধেয় গ্রাহক,
আপনার গাড়ির বিরুদ্ধে একটি ট্রাফিক নিয়ম লঙ্ঘন রেকর্ড করা হয়েছে। জরিমানা: 200 টাকা। চালান নম্বর: CH95885858।
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন।
[ফরওয়ার্ড করা হয়েছে] ParivahanSewa.apk  14 MB . APK",spam,apk_fraud,rto_challan,bn,attached_file_no_link,Parivahan Sewa,+91 8800XXXX12,synthetic_v2
26,"Namaste Customer, Aapka India Post parcel tracking GB-3394-C90 address adhura hone ki wajah se deliver nahi ho paya. Kripya jaldi se jaldi action le, warna aapka account block ho jayega. Is message ke sath attach QR code scan kare aur turant verify kare.",spam,apk_fraud,courier,hg,qr_code,India Post,VK-INDPST,synthetic_v2
27,"শ্রদ্ধেয় গ্রাহক,
Your electricity bill of Rs 50000 with Power Distribution Co is pending.
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন।
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,bn,link_apk,Power Distribution Co,JD-ITAXRF,synthetic_v2
28,"ICICI Bank Free Msg: Your bill is paid. Thanks, here's a little gift for you: bedy13.com/update",spam,link_fraud,fake_billing_link,en,link_only,,+91 8800XXXX12,synthetic_v2
29,"Namaste Customer, Aapke vehicle par traffic violation record hua hai. Fine: Rs 1500. Challan number: CH84057275. Kripya 24 ghante ke andar action le, warna aapka account block ho jayega. Niche diye link se app install kare.
parivahan-sewa.tk/verify
ParivahanSewa.apk",spam,apk_fraud,rto_challan,hg,link_apk,Parivahan Sewa,+91 7700XXXX45,synthetic_v2
30,"प्रिय ग्राहक,
आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 50000। चालान संख्या: CH31439705।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें।
[अग्रेषित] RTOCHALAN.apk",spam,apk_fraud,rto_challan,hi,no_explicit_app_word,RTO Traffic Police,INFO-GOVT,synthetic_v2
31,How was txting and driving,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
32,"Dear Customer, Aapke SBI account se Rs 1500 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. turant jawab de, nahi to legal action hoga. Attached file check kare aur use khol kar aage badhe.
[Forwarded] SBI_Secure.apk  14 MB . APK",spam,apk_fraud,bank_alert,hg,attached_file_no_link,SBI,+91 7700XXXX45,synthetic_v2
33,"Hello Pooja, your FEDEX package with tracking code GB-2014-F66 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,INFO-GOVT,synthetic_v2
34,"Alright, I'll head out in a few minutes, text me where to meet you",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
35,"শ্রদ্ধেয় গ্রাহক,
Your Google Account account will be suspended due to unusual login activity.
অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
এই বার্তার সাথে সংযুক্ত কিউআর কোডটি স্ক্যান করুন এবং অবিলম্বে যাচাই করুন।",spam,apk_fraud,security_verify,bn,qr_code,Google Account,AX-PWRBIL,synthetic_v2
36,"Priya Grahak, Aapko PhonePe Rewards se Rs 25000 cashback mila hai. Kripya turant action le, warna aapka account block ho jayega. Niche diye link se app install kare.
phonepe-reward.info
PhonePe_Reward.apk",spam,apk_fraud,upi_cashback,hg,link_apk,PhonePe Rewards,AD-NETFLX,synthetic_v2
37,"INR 1500 was debited from your SBI account. If this was not done by you, secure your account now.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,bank_alert,pa,vishing_callback,SBI,AX-PWRBIL,synthetic_v2
38,"Dear Customer, Aapke SBI account se Rs 5000 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. jaldi se jaldi jawab de, nahi to connection cut ho jayega. Aapse contact karne ki koshish ki thi. Niche diye number par call kare, hamara representative aapko verification process me guide karega.",spam,apk_fraud,bank_alert,hg,vishing_callback,SBI,VM-SBIBNK,synthetic_v2
39,"Hello Pooja, your FEDEX package with tracking code GB-1626-G66 is waiting for you to set delivery preferences: e3fmr.info/track",spam,link_fraud,fake_delivery_link,en,link_only,,VK-RTOGOV,synthetic_v2
40,"SBI Free Msg: Your bill is paid. Thanks, here's a little gift for you: cutt.ly/fakeapp",spam,link_fraud,fake_billing_link,en,link_only,,AX-PWRBIL,synthetic_v2
41,ठीक है आई अब एक नया लक्ष्य है,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
42,हम्म... बुरी खबर... HHyy Wagagag $700 स्टूडियो ले लिया... सिर्फ 2 बिस्तरी - $९०० छोड़ दिया है...,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
43,O. Well uv causes mutations. الشمسية هي مثل الأيام الأساسية,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
44,"प्रिय उपयोगकर्ता,
आपका State Electricity Board बिजली बिल रु 500 बकाया है।
कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] Electricity_Pay.apk  14 MB . APK",spam,apk_fraud,electricity,hi,attached_file_no_link,State Electricity Board,+91 8800XXXX12,synthetic_v2
45,مجھے یقین ہے کہ میں دوپہر سے پہلے اٹھوں گا اور دیکھوں گا کہ کیا ہے,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
46,मी घरी आहे...,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
47,"Hello Amit, your FEDEX package with tracking code GB-8605-B45 is waiting for you to set delivery preferences: e3fmr.info/track",spam,link_fraud,fake_delivery_link,en,link_only,,VM-WHATSP,synthetic_v2
48,"तुमच्या वाहनावर वाहतूक नियम उल्लंघन नोंदवले गेले आहे. दंड रक्कम: रु 750. चलन क्रमांक: CH55873760.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,rto_challan,mr,vishing_callback,Parivahan / RTO Traffic Police,VK-UPIRWD,synthetic_v2
49,"Congratulations! You are eligible for a pre-approved offer of Rs 5000 from InstaCredit.
कृपया आजच कारवाई करा , अन्यथा तुमचे खाते बंद होईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] InstaCredit.apk  14 MB . APK",spam,apk_fraud,loan_job,mr,attached_file_no_link,InstaCredit,VK-RTOGOV,synthetic_v2
50,"Congratulations! You are eligible for a pre-approved offer of Rs 500 from HR Recruitment Cell. Kindly respond within 24 hours, otherwise your account will be blocked. Click the link below and install the app to proceed.
job-portal-apply.tk
Job_Portal.apk",spam,apk_fraud,loan_job,en,link_apk,HR Recruitment Cell,JD-ITAXRF,synthetic_v2
51,Your OTP for a transaction of INR 2000 is 5345.. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2
52,Your OTP for a transaction of INR 500 is 9611. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2
53,"আপনার গাড়ির বিরুদ্ধে একটি ট্রাফিক নিয়ম লঙ্ঘন রেকর্ড করা হয়েছে। জরিমানা: 2000 টাকা। চালান নম্বর: CH11265080। অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে। নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন। parivahan-sewa.tk/verify ParivahanSewa.apk",spam,apk_fraud,rto_challan,bn,link_apk,Parivahan Sewa,VM-WHATSP,synthetic_v2
54,هذا هو واحد من الأيام لديك مليار دروس، أليس كذلك؟,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
55,"आदरणीय ग्राहक, Congratulations! You are eligible FOR a pre-approved offer of Rs 25000 from QuickLoan Finance. कृपया त्वरित कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल. कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा. [फॉरवर्ड केलेले] Loan_Approval.apk 14 MB . APK",spam,apk_fraud,loan_job,mr,attached_file_no_link,QuickLoan Finance,JD-ITAXRF,synthetic_v2
56,"Hello Pooja, your FEDEX package with tracking code GB-2088-D58 is waiting for you to set delivery preferences: bit.ly/3xK9pL",spam,link_fraud,fake_delivery_link,en,link_only,,+91 7700XXXX45,synthetic_v2
57,"அன்புள்ள வாடிக்கையாளர்,
Income Tax Department: You are eligible for a refund of Rs 750.
தயவுசெய்து உடனடியாக நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும்.
Click and open the pdf file below and check your details.
[Forwarded] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,ta,pdf_then_apk,Income Tax Department,INFO-GOVT,synthetic_v2
58,"Namaste Customer, Aapke vehicle par traffic violation record hua hai. Fine: Rs 50000. Challan number: CH54486674. Kripya jaldi se jaldi action le, warna connection cut ho jayega. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] VAHAN_PARIVAHAN.apk  14 MB . APK",spam,apk_fraud,rto_challan,hg,pdf_then_apk,Parivahan / RTO Traffic Police,+91 7700XXXX45,synthetic_v2
59,Congratulations! You have won a cash prize of Rs 1500. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-NETFLX,synthetic_v2
60,"Attention Customer, Your electricity bill of Rs 1500 with State Electricity Board is pending. Kindly respond within 3 days or legal action will be taken, otherwise your service will be suspended permanently. We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,electricity,en,vishing_callback,State Electricity Board,INFO-GOVT,synthetic_v2
61,"आदरणीय ग्राहक,
आपका FedEx पार्सल ट्रैकिंग कोड GB-5357-F96 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,hi,link_apk,FedEx,JD-ITAXRF,synthetic_v2
62,"INR 500 was debited from your SBI account. If this was NOT done by you, secure your account now. Kindly respond immediately, otherwise your service will be suspended permanently. Click the link below and install the app to proceed. sbi-secure-updat.in SBI_Secure.apk",spam,apk_fraud,bank_alert,en,link_apk,SBI,VK-LOANAP,synthetic_v2
63,"عزیز صارف،
Income Tax Dept e-Filing: You are eligible for a refund of Rs 200..
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
it-refund-portal.info
IT_Refund_Portal.apk",spam,apk_fraud,govt_refund,ur,link_apk,Income Tax Dept e-Filing,JD-ITAXRF,synthetic_v2
64,Eh sorry leh... I din c ur msg. Not sad already lar. I watch TV now. You still in office?,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
65,(پہلی دفعہ) (پہلی دفعہ) (پہلی دفعہ) (پہلی دفعہ),not_spam,real_ham,conversational,mixed,n/a,,,real_csv
66,"Namaste Customer, Aapka BlueDart parcel tracking GB-2008-D79 address adhura hone ki wajah se deliver nahi ho paya. aaj hi jawab de, nahi to connection cut ho jayega. Aapke recent request ke baare me ek zaroori update hai. Niche diya document kholkar process complete kare.
[Forwarded] BlueDart_Track.apk",spam,apk_fraud,courier,hg,no_explicit_app_word,BlueDart,AD-ICICIB,synthetic_v2
67,"ਸਹੀ ਹੈ, ਉਸ ਨੇ ਸਹੀ ਹੈ, ਉਸ ਨੇ ਸਹੀ ਹੈ, ਉਸ ਨੇ ਸਹੀ ਹੈ?",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
68,"प्रिय ग्राहक,
Your electricity bill of Rs 200 with Power Distribution Co is pending.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] PowerPay_App.apk  14 MB . APK",spam,apk_fraud,electricity,mr,attached_file_no_link,Power Distribution Co,VK-RTOGOV,synthetic_v2
