text,label,language,category,metadata,source
⚠️ IndusInd எச்சரிக்கை: புதிய பாதுகாப்பு ஆப்பைப் பதிவிறக்கம் செய்யவும்: https://sbi-update-kyc.top/app.apk,1,ta,direct_apk,"{""sender"": ""+911670073356"", ""language"": ""ta""}",synthetic_spam
"₹2,500 was debited from your Axis account. If this was not done by you, secure your account now. Kindly respond immediately, otherwise your account will be blocked. We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",1,en,callback_only_fraud,"{""sender"": ""noreply@mparivahan-dl.xyz"", ""language"": ""en""}",synthetic_spam
Myntra: Your order has shipped and will arrive soon. Track: myntr.it/s/8k2p,0,en,legitimate_delivery,"{""sender"": ""239299"", ""language"": ""en""}",synthetic_ham
শুভ জন্মদিন! 🎂 অনেক শুভেচ্ছা!,0,bn,personal_messages,"{""sender"": ""AD-UNIONB"", ""language"": ""bn""}",synthetic_ham
"Hey, are you coming to the party tonight? Let me know!",0,en,personal_messages,"{""sender"": ""990882"", ""language"": ""en""}",synthetic_ham
"आपके IDBI खाते से ₹2,500 डेबिट हुए। अगर यह आपने नहीं किया तो तुरंत अपना खाता सुरक्षित करें। कृपया 24 घंटे के भीतर कार्रवाई करें, नहीं तो खाता बंद हो जाएगा। हमारे प्रतिनिधि को कॉल करें और वेरिफिकेशन प्रक्रिया पूरी करें।",1,hi,callback_only_fraud,"{""sender"": ""+914293990582"", ""language"": ""hi""}",synthetic_spam
NOTICE: Your Vi SIM will be deactivated in 24hrs due to pending KYC. Verify: shorturl.at/acEG7,1,en,shortened_url_urgency,"{""sender"": ""+919068715240"", ""language"": ""en""}",synthetic_spam
"നിങ്ങളുടെ SBI അക്കൗണ്ടിൽ നിന്ന് ₹50,000 ഡെബിറ്റ് ചെയ്തു. ഇത് നിങ്ങൾ ചെയ്തതല്ലെങ്കിൽ, ഉടൻ അക്കൗണ്ട് സുരക്ഷിതമാക്കുക. ഞങ്ങളുടെ പ്രതിനിധിയെ വിളിക്കുക, അല്ലെങ്കിൽ അക്കൗണ്ട് ബ്ലോക്ക് ചെയ്യപ്പെടും.",1,ml,callback_only_fraud,"{""sender"": ""+2347766753725"", ""language"": ""ml""}",synthetic_spam
"Scan QR to receive your Paytm cashback of ₹50,000: is.gd/k8mPq2",1,en,qr_code,"{""sender"": ""+631566556335"", ""language"": ""en""}",synthetic_spam
"உங்கள் SBI கணக்கிலிருந்து ₹5,000 டெபிட் ஆனது. இது நீங்கள் செய்யவில்லை என்றால், உடனே உங்கள் கணக்கை பாதுகாக்கவும். எங்கள் பிரதிநிதியை அழைத்து சரிபார்ப்பு செயல்முறையை முடிக்கவும், இல்லையெனில் கணக்கு முடக்கப்படும்.",1,ta,callback_only_fraud,"{""sender"": ""+913873076024"", ""language"": ""ta""}",synthetic_spam
Your HDFC KYC expires today. Update now or account will be blocked: bit.ly/3xK2mN,1,en,shortened_url_urgency,"{""sender"": ""VM-INDUSI"", ""language"": ""en""}",synthetic_spam
Airtel KYC अपडेट जरूरी है। ऐप डाउनलोड करें: cutt.ly/2wR4kLm/kyc.apk वरना SIM बंद हो जाएगी,1,hi,direct_apk,"{""sender"": ""noreply@sbi-update-kyc.top"", ""language"": ""hi""}",synthetic_spam
"Pre-approved loan of ₹5,000 for your Union Bank account. Claim now: is.gd/k8mPq2/loan-app.apk",1,en,loan_app,"{""sender"": ""+867087121430"", ""language"": ""en""}",synthetic_spam
जन्मदिन मुबारक! 🎂 ढेर सारी शुभकामनाएं!,0,hi,personal_messages,"{""sender"": ""599699"", ""language"": ""hi""}",synthetic_ham
"EPFO: आपका PF ₹5,000 क्लेम करें। फॉर्म डाउनलोड: tinyurl.com/yvb89kw/epfo.apk",1,hi,govt_impersonation,"{""sender"": ""+866308567900"", ""language"": ""hi""}",synthetic_spam
"आज मीटिंग 4 PM ला आहे, please वेळेवर ये।",0,mixed_script,mixed_language_conversational,"{""sender"": ""+916754865816"", ""language"": ""mixed_script""}",synthetic_ham
Zomato order ruka hai address issue ki wajah se. Verify karo: rb.gy/x7n3p,1,hi_latn,delivery_notification,"{""sender"": ""VM-PNB"", ""language"": ""hi_latn""}",synthetic_spam
Low EMI loans available! Download our trusted app: bit.ly/3xK2mN - instant approval guaranteed,1,en,loan_app,"{""sender"": ""+911737421126"", ""language"": ""en""}",synthetic_spam
Meesho Sale! Up to 70% off on electronics. Shop now on the Meesho app. T&C apply. Reply STOP to opt out.,0,en,legitimate_promo,"{""sender"": ""+917816958820"", ""language"": ""en""}",synthetic_ham
Your package delivery failed. Reschedule here: rb.gy/x7n3p,1,en,delivery_notification,"{""sender"": ""VM-YESBAN"", ""language"": ""en""}",synthetic_spam
"সন্ধ্যায় বাজারে যাচ্ছি, তোমার জন্য কিছু আনবো কি?",0,mixed_script,mixed_language_conversational,"{""sender"": ""AD-AXIS"", ""language"": ""mixed_script""}",synthetic_ham
Happy Birthday! 🎂 Wishing you a wonderful year ahead!,0,en,personal_messages,"{""sender"": ""097037"", ""language"": ""en""}",synthetic_ham
"Pre-approved loan of ₹2,500 for your PNB account. Claim now: bit.ly/3xK2mN/loan-app.apk",1,en,loan_app,"{""sender"": ""+916713875622"", ""language"": ""en""}",synthetic_spam
பிறந்தநாள் வாழ்த்துக்கள்! 🎂,0,ta,personal_messages,"{""sender"": ""AD-AXIS"", ""language"": ""ta""}",synthetic_ham
Myntra: Your order has shipped and will arrive soon. Track: myntr.it/s/8k2p,0,en,legitimate_delivery,"{""sender"": ""+913194592377"", ""language"": ""en""}",synthetic_ham
Your Cred account is under review. Complete verification: is.gd/k8mPq2 within 24 hours.,1,en,shortened_url_urgency,"{""sender"": ""+910412606894"", ""language"": ""en""}",synthetic_spam
Your Amazon order #01548674 is out for delivery. Track: fkrt.it/t8xB,0,en,legitimate_delivery,"{""sender"": ""AD-INDUSI"", ""language"": ""en""}",synthetic_ham
🎉 Congratulations! You've won ₹500 in the IDBI Lucky Draw! Claim: rb.gy/x7n3p,1,en,financial_reward,"{""sender"": ""226420"", ""language"": ""en""}",synthetic_spam
अरे यार मुझे मुझे मुझे मुझे मुझे मुझे मुझे मुझे मुझे मुझे नहीं पता क्या बोलूं आज।,0,hi,repeated_word_noise,"{""sender"": ""342964"", ""language"": ""hi""}",synthetic_ham
New Union Bank app is mandatory for all customers. Install immediately: https://epfo-claim-status.online/banking.apk or your account will be blocked.,1,en,direct_apk,"{""sender"": ""882843"", ""language"": ""en""}",synthetic_spam
Wedding Invitation: Rajesh & Sunita's wedding on 15th March. View card: bit.ly/3xK2mN/card.apk,1,en,wedding_invitation,"{""sender"": ""533921"", ""language"": ""en""}",synthetic_spam
Wedding Invitation: Arjun & Amit's wedding on 15th March. View card: tinyurl.com/yvb89kw/card.apk,1,en,wedding_invitation,"{""sender"": ""VM-BOB"", ""language"": ""en""}",synthetic_spam
Your Amazon order #ORD-07967013 has been shipped. Track: phonepe.com,0,en,legitimate_delivery,"{""sender"": ""688180"", ""language"": ""en""}",synthetic_ham
"ਤੁਹਾਡੇ Union Bank ਖਾਤੇ ਵਿੱਚੋਂ ₹500 ਡੈਬਿਟ ਹੋਏ ਹਨ। ਜੇ ਇਹ ਤੁਸੀਂ ਨਹੀਂ ਕੀਤਾ, ਤਾਂ ਹੁਣੇ ਆਪਣਾ ਖਾਤਾ ਸੁਰੱਖਿਅਤ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਸਾਡੇ ਨੁਮਾਇੰਦੇ ਨੂੰ ਕਾਲ ਕਰੋ ਅਤੇ ਤਸਦੀਕ ਪ੍ਰਕਿਰਿਆ ਪੂਰੀ ਕਰੋ।",1,pa,callback_only_fraud,"{""sender"": ""VM-INDUSI"", ""language"": ""pa""}",synthetic_spam
"ई-चालान नोटिस: ₹10,000 का अवैतनिक ट्रैफिक जुर्माना। अभी भुगतान करें: bit.ly/3xK2mN",1,hi,govt_impersonation,"{""sender"": ""+911960917201"", ""language"": ""hi""}",synthetic_spam
"Gas connection disconnection notice. Outstanding: ₹5,000. Pay immediately: cutt.ly/2wR4kLm",1,en,utility_scam,"{""sender"": ""noreply@pan-verification.live"", ""language"": ""en""}",synthetic_spam
"प्रिय ग्राहक, ICICI का नया मोबाइल बैंकिंग ऐप डाउनलोड करें: shorturl.at/acEG7/banking.apk अन्यथा आपका खाता बंद हो जाएगा",1,hi,direct_apk,"{""sender"": ""VM-INDUSI"", ""language"": ""hi""}",synthetic_spam
