text,label,language,category,metadata,source,stratify_col
Jio: Main balance INR 2GB/day. Data balance 988GB. Active plans: 259,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Myntra: Your return for order 167051 has been processed. Refund INR Naik-Ramesh initiated.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax: You have pending refund of INR 346. Claim now: http://tax-refund204.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
"Hi Girik, are we meeting today at Tenali?",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
UPI of INR 5680 to 8025 from A/C XX85160 successful. Ref No. Karan - Yes Bank,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill619.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Is that seriously how you spell his name?,0,en,public_dataset,{},sms_spam,0_en
Good night. Am going to sleep.,0,en,public_dataset,{},sms_spam,0_en
Your PNB account XX7718 has balance of INR 48676 as on 20681.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax: You have pending refund of INR 771. Claim now: http://tax-refund900.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,en,public_dataset,{},sms_spam,0_en
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",0,en,public_dataset,{},sms_spam,0_en
Eta: Can you send me the notes for yesterday's class?,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
لماذا لا أحد يتحدث معي,0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
Swiggy: Order from 497888 delivered. Enjoy your meal! Bill amount: INR Lanka-Dhaliwal,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your Amazon order #169208 has been delivered. Rate your experience: https://amazon.in,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Single women in 8762929457 waiting to meet you! Call Thrissur,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Your recharge of INR 3GB/day for 649 is successful. Balance: INR 468,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Single women in 9846133066 waiting to meet you! Call Salem,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
S...i will take mokka players only:),0,en,public_dataset,{},sms_spam,0_en
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale445.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Your Amazon order #980695 has been delivered. Rate your experience: https://amazon.in,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Congratulations! You are eligible for a pre-approved offer of Rs 1500 from HR Recruitment Cell. कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें। [अग्रेषित] Job_Portal.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
EPFO: Pension contribution of INR 9576 received for June. Total balance: INR 279608,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Myntra: Your return for order 338931 has been processed. Refund INR Chander Group initiated.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",0,en,public_dataset,{},sms_spam,0_en
Swiggy: Order from 869659 delivered. Enjoy your meal! Bill amount: INR Sachdev-Chauhan,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"4 धन्यवाद, वेळ आपण खर्च केले आहे 2geva, त्याचे बिन मिंट! Ur My Baby आणि सर्व मी चाहतो आहे u!xxxx",0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
Kotak Mahindra Bank: OTP 5721 for transaction of INR 9067 at 35184. Do not share with anyone.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Hi beautiful! I saw your profile. Want to chat? Reply YES to 7959522699,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
MSEDCL: Bill amount INR September for 1221. Pay at https://mahadiscom.in by 2025-09-08,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your Amazon order #979193 has been delivered. Rate your experience: https://amazon.in,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Get rich quick! Earn ₹9317771539 daily from home. Call Asansol,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Haha get used to driving to usf man, I know a lot of stoners",0,en,public_dataset,{},sms_spam,0_en
BSNL: Bill of INR 3GB/day due on 361. Pay to avoid service disruption.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0,en,public_dataset,{},sms_spam,0_en
"প্রিয় গ্রাহক, আপনার PNB কেওয়াইসি মেয়াদ শেষ হয়ে গেছে এবং পুনরায় যাচাই করা প্রয়োজন। অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে। We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
Your Amazon order #210572 has been delivered. Rate your experience: https://amazon.in,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,0,en,public_dataset,{},sms_spam,0_en
"Hey, the party is at Yashica at Pimpri-Chinchwad PM. Don't be late!",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Flipkart: Your order 145838 is out for delivery. Track: https://flipkart.com/track/Bansal, Kapur and Khalsa",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"ਤੁਹਾਡੇ Union Bank ਖਾਤੇ ਵਿੱਚੋਂ ₹500 ਡੈਬਿਟ ਹੋਏ ਹਨ। ਜੇ ਇਹ ਤੁਸੀਂ ਨਹੀਂ ਕੀਤਾ, ਤਾਂ ਹੁਣੇ ਆਪਣਾ ਖਾਤਾ ਸੁਰੱਖਿਅਤ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਸਾਡੇ ਨੁਮਾਇੰਦੇ ਨੂੰ ਕਾਲ ਕਰੋ ਅਤੇ ਤਸਦੀਕ ਪ੍ਰਕਿਰਿਆ ਪੂਰੀ ਕਰੋ।",1,pa,callback_only_fraud,"{""sender"": ""VM-INDUSI"", ""language"": ""pa""}",synthetic_spam,1_pa
MSEDCL: Bill amount INR May for 4609. Pay at https://mahadiscom.in by 2025-09-16,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Passport Seva: Your appointment is confirmed for 1840 at December,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Mom: Please bring Indrajit from the market,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax Dept: Your refund of INR 6532 has been processed. Will be credited in 3-5 days.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
UPPCL: Electricity bill for January is INR 1873. Pay by 2025-09-13 to avoid disconnection.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your Amazon order #993958 has been delivered. Rate your experience: https://amazon.in,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax Dept: Your refund of INR 17326 has been processed. Will be credited in 3-5 days.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
No. Did you multimedia message them or e-mail?,0,en,public_dataset,{},sms_spam,0_en
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill809.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
میں آپ کو فون کروں گا جب میں قریب ہوں,0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
Kotak Mahindra Bank: OTP 6842 for transaction of INR 37388 at 20508. Do not share with anyone.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Kotak Mahindra Bank: OTP 2656 for transaction of INR 43053 at 41057. Do not share with anyone.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Get 50% discount on your 201 electricity bill! Pay only INR Tiruvottiyur. Limited time: http://bill-discount473.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
