id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
106,"Dear Customer, Netflix: Your membership has expired. Please act today itself or legal action will be taken against you. Click the link below and install THE app to proceed. netflix-update-app.xyz Netflix_Update.apk",spam,apk_fraud,ott_subscription,en,link_apk,Netflix,AX-PWRBIL,synthetic_v2,3,qr_code_sideload_scam
107,"Netflix: Aapki membership expire ho gayi hai. Kripya 24 ghante ke andar action le, warna legal action hoga. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,hg,pdf_then_apk,Netflix,+91 7700XXXX45,synthetic_v2,3,qr_code_sideload_scam
172,"प्रिय उपयोगकर्ता,
Netflix: Your membership has expired.
कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,hi,link_apk,Netflix,VK-UPIRWD,synthetic_v2,3,qr_code_sideload_scam
174,"आदरणीय ग्राहक, Disney+ Hotstar: YOUR membership has expired.. कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें। [अग्रेषित] Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,hi,no_explicit_app_word,Disney+ Hotstar,+91 8800XXXX12,synthetic_v2,3,qr_code_sideload_scam
210,"প্রিয় গ্রাহক,
Disney+ Hotstar: Your membership has expired.
অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
এই বার্তার সাথে সংযুক্ত কিউআর কোডটি স্ক্যান করুন এবং অবিলম্বে যাচাই করুন।",spam,apk_fraud,ott_subscription,bn,qr_code,Disney+ Hotstar,VK-INDPST,synthetic_v2,3,qr_code_sideload_scam
236,"प्रिय ग्राहक,
Netflix: Your membership has expired.
कृपया आजच कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,mr,link_apk,Netflix,VK-INDPST,synthetic_v2,3,qr_code_sideload_scam
243,"ਪਿਆਰੇ ਗਾਹਕ,
Disney+ Hotstar: Your membership has expired.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ।
[ਅੱਗੇ ਭੇਜਿਆ] Hotstar_Renew.apk  14 MB . APK",spam,apk_fraud,ott_subscription,pa,attached_file_no_link,Disney+ Hotstar,JD-ITAXRF,synthetic_v2,3,qr_code_sideload_scam
246,"Dear Customer, Netflix: Your membership has expired. Please act today itself or your service will be suspended permanently. Click the link below and install the app to proceed.
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,en,link_apk,Netflix,VK-UPIRWD,synthetic_v2,3,qr_code_sideload_scam
252,"आदरणीय ग्राहक, Netflix: Your membership has expired. कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] Netflix_Update.apk 14 MB . APK",spam,apk_fraud,ott_subscription,hi,pdf_then_apk,Netflix,VK-UPIRWD,synthetic_v2,3,qr_code_sideload_scam
262,"Namaste Customer, Disney+ Hotstar: Aapki membership expire ho gayi hai. Kripya turant action le, warna connection cut ho jayega. Niche diye link se app install kare.
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,hg,link_apk,Disney+ Hotstar,AX-PWRBIL,synthetic_v2,3,qr_code_sideload_scam
297,"Namaste Customer, Disney+ Hotstar: Aapki membership expire ho gayi hai. jaldi se jaldi jawab de, nahi to aapka account block ho jayega. Niche diye link se app install kare.
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,hg,link_apk,Disney+ Hotstar,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
318,"Disney+ Hotstar: Your membership has expired. कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल. या संदेशासोबत जोडलेला क्यूआर कोड स्कॅन करा आणि त्वरित पडताळणी करा.",spam,apk_fraud,ott_subscription,mr,qr_code,Disney+ Hotstar,+91 7700XXXX45,synthetic_v2,3,qr_code_sideload_scam
369,"Netflix: Your membership has expired.
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam,apk_fraud,ott_subscription,hi,qr_code,Netflix,VM-SBIBNK,synthetic_v2,3,qr_code_sideload_scam
393,"प्रिय ग्राहक,
Disney+ Hotstar: Your membership has expired.
कृपया आजच कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,mr,link_apk,Disney+ Hotstar,VK-LOANAP,synthetic_v2,3,qr_code_sideload_scam
407,"प्रिय ग्राहक,
Netflix: Your membership has expired.
कृपया तुरंत कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,hi,link_apk,Netflix,AX-PWRBIL,synthetic_v2,3,qr_code_sideload_scam
408,"Namaste Customer, Disney+ Hotstar: Aapki membership expire ho gayi hai. 24 ghante ke andar jawab de, nahi to legal action hoga. Niche diye link se app install kare.
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,hg,link_apk,Disney+ Hotstar,VK-LOANAP,synthetic_v2,3,qr_code_sideload_scam
419,"Netflix: Aapki membership expire ho gayi hai. Kripya 24 ghante ke andar action le, warna connection cut ho jayega. Niche diye link se app install kare.
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,hg,link_apk,Netflix,VK-INDPST,synthetic_v2,3,qr_code_sideload_scam
435,"Dear Sir/Madam, Netflix: Your membership has expired. Please act right now to avoid penalty or legal action will be taken against you. Please check the attached file for full details and open it to proceed.
[Forwarded] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,en,attached_file_no_link,Netflix,VM-SBIBNK,synthetic_v2,3,qr_code_sideload_scam
439,"Dear Vehicle Owner, Netflix: Your membership has expired. Please act today itself or your connection will be disconnected. Please check the attached file for full details and open it to proceed.
[Forwarded] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,en,attached_file_no_link,Netflix,AD-ICICIB,synthetic_v2,3,qr_code_sideload_scam
447,"ਪਿਆਰੇ ਗਾਹਕ,
Disney+ Hotstar: Your membership has expired.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ।
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,pa,link_apk,Disney+ Hotstar,+91 7700XXXX45,synthetic_v2,3,qr_code_sideload_scam
462,"Dear Sir/Madam, Netflix: Your membership has expired. Kindly respond within 3 days or legal action will be taken, otherwise your service will be suspended permanently. Click the link below and install the app to proceed.
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,en,link_apk,Netflix,JD-ITAXRF,synthetic_v2,3,qr_code_sideload_scam
468,"Dear User, DISNEY+ Hotstar: Your membership has expired. Kindly respond right now to avoid penalty, otherwise legal action will be taken against you. Please check the attached file for full details and open it to proceed. [Forwarded] Hotstar_Renew.apk 14 MB . APK",spam,apk_fraud,ott_subscription,en,attached_file_no_link,Disney+ Hotstar,VK-LOANAP,synthetic_v2,3,qr_code_sideload_scam
518,"NETFLIX: Your membership has expired.. ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ। [ਅੱਗੇ ਭੇਜਿਆ] Netflix_Update.apk 14 MB . APK",spam,apk_fraud,ott_subscription,pa,attached_file_no_link,Netflix,VK-RTOGOV,synthetic_v2,3,qr_code_sideload_scam
532,"Dear Customer, Netflix: Aapki membership expire ho gayi hai.. Kripya 24 ghante ke andar action le, warna connection cut ho jayega. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,hg,pdf_then_apk,Netflix,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
560,"प्रिय उपयोगकर्ता,
Netflix: Your membership has expired.
कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
हमने आपसे संपर्क करने का प्रयास किया। कृपया नीचे दिए गए नंबर पर कॉल करें, हमारा प्रतिनिधि आपको सत्यापन प्रक्रिया में मार्गदर्शन करेगा।",spam,apk_fraud,ott_subscription,hi,vishing_callback,Netflix,JD-ITAXRF,synthetic_v2,3,qr_code_sideload_scam
633,"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ,
Disney+ Hotstar: Your membership has expired.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ।
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,pa,link_apk,Disney+ Hotstar,VM-SBIBNK,synthetic_v2,3,qr_code_sideload_scam
686,"Namaste Customer, Netflix: Aapki membership expire ho gayi hai. Kripya aaj hi action le, warna legal action hoga. Niche diye link se APP install kare. netflix-update-app.xyz Netflix_Update.apk",spam,apk_fraud,ott_subscription,hg,link_apk,Netflix,VK-LOANAP,synthetic_v2,3,qr_code_sideload_scam
709,"عزیز صارف،
Disney+ Hotstar: Your membership has expired.
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
براہ کرم منسلک فائل دیکھیں اور آگے بڑھنے کے لیے اسے کھولیں۔
[فارورڈ شدہ] Hotstar_Renew.apk  14 MB . APK",spam,apk_fraud,ott_subscription,ur,attached_file_no_link,Disney+ Hotstar,+91 7700XXXX45,synthetic_v2,3,qr_code_sideload_scam
724,"محترم گاہک،
Netflix: Your membership has expired.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
براہ کرم منسلک فائل دیکھیں اور آگے بڑھنے کے لیے اسے کھولیں۔
[فارورڈ شدہ] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,ur,attached_file_no_link,Netflix,VK-RTOGOV,synthetic_v2,3,qr_code_sideload_scam
754,"Priya Grahak, Netflix: Aapki membership expire ho gayi hai. 24 ghante ke andar jawab de, nahi to legal action hoga. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,hg,pdf_then_apk,Netflix,VK-UPIRWD,synthetic_v2,3,qr_code_sideload_scam
763,"Netflix: Your membership has expired.
ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ।
[ਅੱਗੇ ਭੇਜਿਆ] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,pa,attached_file_no_link,Netflix,JD-ITAXRF,synthetic_v2,3,qr_code_sideload_scam
824,"Attention Customer, Netflix: Your membership has expired. Kindly respond today itself, otherwise your account will be blocked. Click the link below and install the app to proceed.
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,en,link_apk,Netflix,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
825,"Netflix: Your membership has expired.
ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ।
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,pa,link_apk,Netflix,AD-ICICIB,synthetic_v2,3,qr_code_sideload_scam
828,"आदरणीय ग्राहक,
Netflix: Your membership has expired.
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,hi,link_apk,Netflix,VM-SBIBNK,synthetic_v2,3,qr_code_sideload_scam
865,"ਪਿਆਰੇ ਗਾਹਕ, Netflix: Your membership has expired. ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ। ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ। [ਅੱਗੇ ਭੇਜਿਆ] Netflix_Update.apk 14 MB . APK",spam,apk_fraud,ott_subscription,pa,attached_file_no_link,Netflix,VK-RTOGOV,synthetic_v2,3,qr_code_sideload_scam
867,"Dear Customer, Disney+ Hotstar: Your membership has expired. Kindly respond immediately, otherwise your connection will be disconnected. Click and open the pdf file below and check your details.
[Forwarded] Hotstar_Renew.apk  14 MB . APK",spam,apk_fraud,ott_subscription,en,pdf_then_apk,Disney+ Hotstar,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
880,"Netflix: Your membership has expired.
ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ।
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,pa,link_apk,Netflix,JD-ITAXRF,synthetic_v2,3,qr_code_sideload_scam
884,"Dear Customer, Disney+ Hotstar: Aapki membership expire ho gayi hai. Kripya aaj hi action le, warna aapka account block ho jayega. Aapse contact karne ki koshish ki thi. Niche diye number par call kare, hamara representative aapko verification process me guide karega.",spam,apk_fraud,ott_subscription,hg,vishing_callback,Disney+ Hotstar,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
931,"Netflix: Your membership has expired.
कृपया आजच कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
netflix-updat-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,mr,link_apk,Netflix,AD-ICICIB,synthetic_v2,3,qr_code_sideload_scam
963,"Disney+ Hotstar: Your membership has expired.
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন।
[ফরওয়ার্ড করা হয়েছে] Hotstar_Renew.apk  14 MB . APK",spam,apk_fraud,ott_subscription,bn,attached_file_no_link,Disney+ Hotstar,VK-RTOGOV,synthetic_v2,3,qr_code_sideload_scam
969,"عزیز صارف،
Netflix: Your membership has expired.
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
Click and open the pdf file below and check your details.
[Forwarded] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,ur,pdf_then_apk,Netflix,VK-UPIRWD,synthetic_v2,3,qr_code_sideload_scam
1101,"Dear User, Disney+ Hotstar: Your membership has expired. Kindly respond before midnight, otherwise your account will be blocked. Click the link below and install the app to proceed.
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,en,link_apk,Disney+ Hotstar,JD-ITAXRF,synthetic_v2,3,qr_code_sideload_scam
1145,"Netflix: Your membership has expired.
தயவுசெய்து 24 மணி நேரத்திற்குள் நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும்.
Scan teh QR code attached to this message to complete verification instantly.",spam,apk_fraud,ott_subscription,ta,qr_code,Netflix,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
1162,"Netflix: Your membership has expired.
অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন।
[ফরওয়ার্ড করা হয়েছে] Netflix_Update.apk  14 MB . APK",spam,apk_fraud,ott_subscription,bn,attached_file_no_link,Netflix,VK-UPIRWD,synthetic_v2,3,qr_code_sideload_scam
1184,"Disney+ Hotstar: Aapki membership expire ho gayi hai. Kripya jaldi se jaldi action le, warna connection cut ho jayega. Niche diye link se app install kare.
hotstar-renew.info
Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,hg,link_apk,Disney+ Hotstar,AD-NETFLX,synthetic_v2,3,qr_code_sideload_scam
