id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
11,"আপনার SBI কেওয়াইসি মেয়াদ শেষ হয়ে গেছে এবং পুনরায় যাচাই করা প্রয়োজন।
অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
নিচের পিডিএফ ফাইলটি খুলে আপনার বিবরণ পরীক্ষা করুন।
[ফরওয়ার্ড করা হয়েছে] SBI_Secure.apk  14 MB . APK",spam,apk_fraud,bank_kyc,bn,pdf_then_apk,SBI,VK-UPIRWD,synthetic_v2,10,callback_vishing_fraud
25,"শ্রদ্ধেয় গ্রাহক,
আপনার গাড়ির বিরুদ্ধে একটি ট্রাফিক নিয়ম লঙ্ঘন রেকর্ড করা হয়েছে। জরিমানা: 200 টাকা। চালান নম্বর: CH95885858।
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন।
[ফরওয়ার্ড করা হয়েছে] ParivahanSewa.apk  14 MB . APK",spam,apk_fraud,rto_challan,bn,attached_file_no_link,Parivahan Sewa,+91 8800XXXX12,synthetic_v2,10,callback_vishing_fraud
37,"INR 1500 was debited from your SBI account. If this was not done by you, secure your account now.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,bank_alert,pa,vishing_callback,SBI,AX-PWRBIL,synthetic_v2,10,callback_vishing_fraud
48,"तुमच्या वाहनावर वाहतूक नियम उल्लंघन नोंदवले गेले आहे. दंड रक्कम: रु 750. चलन क्रमांक: CH55873760.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,rto_challan,mr,vishing_callback,Parivahan / RTO Traffic Police,VK-UPIRWD,synthetic_v2,10,callback_vishing_fraud
62,"INR 500 was debited from your SBI account. If this was NOT done by you, secure your account now. Kindly respond immediately, otherwise your service will be suspended permanently. Click the link below and install the app to proceed. sbi-secure-updat.in SBI_Secure.apk",spam,apk_fraud,bank_alert,en,link_apk,SBI,VK-LOANAP,synthetic_v2,10,callback_vishing_fraud
69,"प्रिय उपयोगकर्ता,
आपका Axis Bank केवाईसी समाप्त हो गया है और इसे पुनः सत्यापित करना आवश्यक है।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
axis-secure-bank.tk
Axis_Secure.apk",spam,apk_fraud,bank_kyc,hi,link_apk,Axis Bank,+91 7700XXXX45,synthetic_v2,10,callback_vishing_fraud
85,"প্রিয় গ্রাহক,
আপনার গাড়ির বিরুদ্ধে একটি ট্রাফিক নিয়ম লঙ্ঘন রেকর্ড করা হয়েছে। জরিমানা: 1000 টাকা। চালান নম্বর: CH26941092।
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] ",spam,apk_fraud,rto_challan,bn,no_explicit_app_word,RTO Traffic Police,INFO-GOVT,synthetic_v2,10,callback_vishing_fraud
88,"Dear Vehicle Owner, Your HDFC Bank KYC has expired and needs re-verification. Please act before midnight or your connection will be disconnected. There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] HDFC_KYCUpdate.apk",spam,apk_fraud,bank_kyc,en,no_explicit_app_word,HDFC Bank,AD-NETFLX,synthetic_v2,10,callback_vishing_fraud
105,"आपके SBI खाते से रु 750 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
sbi-secure-update.in
SBI_Secure.apk",spam,apk_fraud,bank_alert,hi,link_apk,SBI,VK-RTOGOV,synthetic_v2,10,callback_vishing_fraud
123,"आदरणीय ग्राहक,
तुमचे PNB केवायसी संपले आहे आणि पुन्हा पडताळणी आवश्यक आहे.
कृपया आजच कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
pnb-ekyc-verify.xyz
PNB_eKYC.apk",spam,apk_fraud,bank_kyc,mr,link_apk,PNB,AX-PWRBIL,synthetic_v2,10,callback_vishing_fraud
125,"Dear Vehicle Owner, INR 25000 was debited from your RBL Bank account. If this was not done by you, secure your account now. Kindly respond within 3 days or legal action will be taken, otherwise you will lose this offer. There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] RBL_Protect.apk",spam,apk_fraud,bank_alert,en,no_explicit_app_word,RBL Bank,VK-RTOGOV,synthetic_v2,10,callback_vishing_fraud
127,"ਤੁਹਾਡੀ HDFC Bank KYC ਦੀ ਮਿਆਦ ਖਤਮ ਹੋ ਗਈ ਹੈ ਅਤੇ ਮੁੜ ਪੁਸ਼ਟੀ ਕਰਨ ਦੀ ਲੋੜ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। Click and open the pdf file below and check your details. [Forwarded] HDFC_KYCUpdate.apk 14 MB . APK",spam,apk_fraud,bank_kyc,pa,pdf_then_apk,HDFC Bank,AD-NETFLX,synthetic_v2,10,callback_vishing_fraud
164,"प्रिय ग्राहक,
आपका Axis Bank केवाईसी समाप्त हो गया है और इसे पुनः सत्यापित करना आवश्यक है।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] Axis_Secure.apk  14 MB . APK",spam,apk_fraud,bank_kyc,hi,attached_file_no_link,Axis Bank,+91 8800XXXX12,synthetic_v2,10,callback_vishing_fraud
169,"Attention Customer, Your HDFC Bank KYC has expired and needs re-verification. Kindly respond today itself, otherwise your account will be blocked. Click the link below and install the app to proceed.
hdfc-kyc-update.info
HDFC_KYCUpdate.apk",spam,apk_fraud,bank_kyc,en,link_apk,HDFC Bank,+91 7700XXXX45,synthetic_v2,10,callback_vishing_fraud
171,"محترم گاہک،
INR 750 was debited from your SBI account. If this was not done by you, secure your account now.
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
براہ کرم منسلک فائل دیکھیں اور آگے بڑھنے کے لیے اسے کھولیں۔
[فارورڈ شدہ] SBI_Secure.apk  14 MB . APK",spam,apk_fraud,bank_alert,ur,attached_file_no_link,SBI,AD-NETFLX,synthetic_v2,10,callback_vishing_fraud
175,"ਪਿਆਰੇ ਗਾਹਕ,
ਤੁਹਾਡੇ ਵਾਹਨ ਵਿਰੁੱਧ ਇੱਕ ਟ੍ਰੈਫਿਕ ਨਿਯਮ ਉਲੰਘਣਾ ਦਰਜ ਕੀਤੀ ਗਈ ਹੈ। ਜੁਰਮਾਨਾ: 1500 ਰੁਪਏ। ਚਲਾਨ ਨੰਬਰ: CH92837679।
ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
Click and open the pdf file below and check your details.
[Forwarded] ParivahanSewa.apk  14 MB . APK",spam,apk_fraud,rto_challan,pa,pdf_then_apk,Parivahan Sewa,AD-NETFLX,synthetic_v2,10,callback_vishing_fraud
197,"प्रिय ग्राहक,
तुमचे Bank of Baroda केवायसी संपले आहे आणि पुन्हा पडताळणी आवश्यक आहे.
कृपया आजच कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,bank_kyc,mr,vishing_callback,Bank of Baroda,AD-ICICIB,synthetic_v2,10,callback_vishing_fraud
199,"Dear User, Your PNB KYC has expired and needs re-verification. Kindly respond before midnight, otherwise legal action will be taken against you. Click and open the pdf file below and check your details.
[Forwarded] PNB_eKYC.apk  14 MB . APK",spam,apk_fraud,bank_kyc,en,pdf_then_apk,PNB,VM-SBIBNK,synthetic_v2,10,callback_vishing_fraud
202,"Dear Customer, Your HDFC Bank KYC has expired and needs re-verification. Please act before midnight or your connection will be disconnected. Please check the attached file for full details and open it to proceed.
[Forwarded] HDFC_KYCUpdate.apk  14 MB . APK",spam,apk_fraud,bank_kyc,en,attached_file_no_link,HDFC Bank,VK-RTOGOV,synthetic_v2,10,callback_vishing_fraud
207,"عزیز صارف،
Netflix: Your membership has expired.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,ott_subscription,ur,vishing_callback,Netflix,AX-PWRBIL,synthetic_v2,10,callback_vishing_fraud
209,"ਤੁਹਾਡੇ ਵਾਹਨ ਵਿਰੁੱਧ ਇੱਕ ਟ੍ਰੈਫਿਕ ਨਿਯਮ ਉਲੰਘਣਾ ਦਰਜ ਕੀਤੀ ਗਈ ਹੈ। ਜੁਰਮਾਨਾ: 50000 ਰੁਪਏ। ਚਲਾਨ ਨੰਬਰ: CH35633440। ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। We tried to reach you regarding your pending issue.. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,rto_challan,pa,vishing_callback,Parivahan Sewa,AX-PWRBIL,synthetic_v2,10,callback_vishing_fraud
221,"आदरणीय ग्राहक,
तुमचे PNB केवायसी संपले आहे आणि पुन्हा पडताळणी आवश्यक आहे.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
pnb-ekyc-verify.xyz
PNB_eKYC.apk",spam,apk_fraud,bank_kyc,mr,link_apk,PNB,+91 7700XXXX45,synthetic_v2,10,callback_vishing_fraud
231,"প্রিয় গ্রাহক,
আপনার SBI কেওয়াইসি মেয়াদ শেষ হয়ে গেছে এবং পুনরায় যাচাই করা প্রয়োজন।
অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন।
sbi-secure-update.in
SBI_Secure.apk",spam,apk_fraud,bank_kyc,bn,link_apk,SBI,VM-WHATSP,synthetic_v2,10,callback_vishing_fraud
233,"आपके Paytm Payments Bank खाते से रु 750 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
paytm-secure-acc.xyz
Paytm_Secure.apk",spam,apk_fraud,bank_alert,hi,link_apk,Paytm Payments Bank,AD-ICICIB,synthetic_v2,10,callback_vishing_fraud
255,"ਤੁਹਾਡੀ ICICI Bank KYC ਦੀ ਮਿਆਦ ਖਤਮ ਹੋ ਗਈ ਹੈ ਅਤੇ ਮੁੜ ਪੁਸ਼ਟੀ ਕਰਨ ਦੀ ਲੋੜ ਹੈ।
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ।
[ਅੱਗੇ ਭੇਜਿਆ] ICICI_Verify.apk  14 MB . APK",spam,apk_fraud,bank_kyc,pa,attached_file_no_link,ICICI Bank,AD-ICICIB,synthetic_v2,10,callback_vishing_fraud
257,"Dear Sir/Madam, Your Bank of Baroda KYC has expired and needs re-verification. Kindly respond within 3 days or legal action will be taken, otherwise your account will be blocked. Click the link below and install the app to proceed.
bob-update-kyc.in
BOB_Update.apk",spam,apk_fraud,bank_kyc,en,link_apk,Bank of Baroda,AX-PWRBIL,synthetic_v2,10,callback_vishing_fraud
260,"محترم گاہک،
آپ کی HDFC Bank KYC کی میعاد ختم ہو گئی ہے اور دوبارہ تصدیق ضروری ہے۔
براہ کرم فوری طور پر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
hdfc-kyc-update.info
HDFC_KYCUpdate.apk",spam,apk_fraud,bank_kyc,ur,link_apk,HDFC Bank,AD-NETFLX,synthetic_v2,10,callback_vishing_fraud
264,"आपके RBL Bank खाते से रु 500 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
rbl-protect-acc.info
RBL_Protect.apk",spam,apk_fraud,bank_alert,hi,link_apk,RBL Bank,+91 8800XXXX12,synthetic_v2,10,callback_vishing_fraud
299,"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ,
ਤੁਹਾਡੇ ਵਾਹਨ ਵਿਰੁੱਧ ਇੱਕ ਟ੍ਰੈਫਿਕ ਨਿਯਮ ਉਲੰਘਣਾ ਦਰਜ ਕੀਤੀ ਗਈ ਹੈ। ਜੁਰਮਾਨਾ: 5000 ਰੁਪਏ। ਚਲਾਨ ਨੰਬਰ: CH66143204।
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] ",spam,apk_fraud,rto_challan,pa,no_explicit_app_word,e-Challan Dept,VK-UPIRWD,synthetic_v2,10,callback_vishing_fraud
300,"प्रिय उपयोगकर्ता,
आपके ICICI Bank खाते से रु 750 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें।
[अग्रेषित] ",spam,apk_fraud,bank_alert,hi,no_explicit_app_word,ICICI Bank,VM-SBIBNK,synthetic_v2,10,callback_vishing_fraud
