id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
27,"শ্রদ্ধেয় গ্রাহক,
Your electricity bill of Rs 50000 with Power Distribution Co is pending.
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন।
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,bn,link_apk,Power Distribution Co,JD-ITAXRF,synthetic_v2,7,electricity_utility_fraud
44,"प्रिय उपयोगकर्ता,
आपका State Electricity Board बिजली बिल रु 500 बकाया है।
कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] Electricity_Pay.apk  14 MB . APK",spam,apk_fraud,electricity,hi,attached_file_no_link,State Electricity Board,+91 8800XXXX12,synthetic_v2,7,electricity_utility_fraud
60,"Attention Customer, Your electricity bill of Rs 1500 with State Electricity Board is pending. Kindly respond within 3 days or legal action will be taken, otherwise your service will be suspended permanently. We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,electricity,en,vishing_callback,State Electricity Board,INFO-GOVT,synthetic_v2,7,electricity_utility_fraud
68,"प्रिय ग्राहक,
Your electricity bill of Rs 200 with Power Distribution Co is pending.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] PowerPay_App.apk  14 MB . APK",spam,apk_fraud,electricity,mr,attached_file_no_link,Power Distribution Co,VK-RTOGOV,synthetic_v2,7,electricity_utility_fraud
75,"ਪਿਆਰੇ ਗਾਹਕ,
Your electricity bill of Rs 1500 with Power Distribution Co is pending.
ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] PowerPay_App.apk",spam,apk_fraud,electricity,pa,no_explicit_app_word,Power Distribution Co,VM-SBIBNK,synthetic_v2,7,electricity_utility_fraud
83,"Priya Grahak, Aapka Power Distribution Co bijli bill Rs 500 pending hai. 24 ghante ke andar jawab de, nahi to legal action hoga. Niche diye link se app install kare.
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,hg,link_apk,Power Distribution Co,AD-NETFLX,synthetic_v2,7,electricity_utility_fraud
95,"Your electricity bill of Rs 500 with State Electricity Board is pending.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ।
[ਅੱਗੇ ਭੇਜਿਆ] Electricity_Pay.apk  14 MB . APK",spam,apk_fraud,electricity,pa,attached_file_no_link,State Electricity Board,VK-RTOGOV,synthetic_v2,7,electricity_utility_fraud
129,"प्रिय ग्राहक,
Your electricity bill of Rs 500 with Power Distribution Co is pending.
कृपया आजच कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,mr,link_apk,Power Distribution Co,VK-LOANAP,synthetic_v2,7,electricity_utility_fraud
153,"आदरणीय ग्राहक,
आपका State Electricity Board बिजली बिल रु 5000 बकाया है।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
हमने आपसे संपर्क करने का प्रयास किया। कृपया नीचे दिए गए नंबर पर कॉल करें, हमारा प्रतिनिधि आपको सत्यापन प्रक्रिया में मार्गदर्शन करेगा।",spam,apk_fraud,electricity,hi,vishing_callback,State Electricity Board,AX-PWRBIL,synthetic_v2,7,electricity_utility_fraud
162,"প্রিয় গ্রাহক,
Your electricity bill of Rs 2000 with Power Distribution Co is pending.
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন।
[ফরওয়ার্ড করা হয়েছে] PowerPay_App.apk  14 MB . APK",spam,apk_fraud,electricity,bn,attached_file_no_link,Power Distribution Co,VK-UPIRWD,synthetic_v2,7,electricity_utility_fraud
