id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
3,"Priya Grahak, Aapka ICICI Bank KYC expire ho gaya hai aur dobara verify karna zaroori hai. Kripya turant action le, warna connection cut ho jayega. Aapse contact karne ki koshish ki thi. Niche diye number par call kare, hamara representative aapko verification process me guide karega.",spam,apk_fraud,bank_kyc,hg,vishing_callback,ICICI Bank,AD-NETFLX,synthetic_v2,2,loan_app_fraud
5,Badhai ho! Aapne Rs 25000 ka prize jeeta hai. Abhi claim kare tinyurl.com/y8mfraud par warna offer khatam ho jayega.,spam,link_fraud,prize_link,hg,link_only,,AX-PWRBIL,synthetic_v2,2,loan_app_fraud
10,"Namaste Customer, Aapke RBL Bank account se Rs 200 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. Kripya aaj hi action le, warna connection cut ho jayega. Niche diye link se app install kare.
rbl-protect-acc.info
RBL_Protect.apk",spam,apk_fraud,bank_alert,hg,link_apk,RBL Bank,INFO-GOVT,synthetic_v2,2,loan_app_fraud
23,"Priya Grahak, Congratulations! QuickLoan Finance se Rs 5000 ka pre-approved offer mila hai. Kripya jaldi se jaldi action le, warna aapka account block ho jayega. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] Loan_Approval.apk  14 MB . APK",spam,apk_fraud,loan_job,hg,pdf_then_apk,QuickLoan Finance,AX-PWRBIL,synthetic_v2,2,loan_app_fraud
32,"Dear Customer, Aapke SBI account se Rs 1500 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. turant jawab de, nahi to legal action hoga. Attached file check kare aur use khol kar aage badhe.
[Forwarded] SBI_Secure.apk  14 MB . APK",spam,apk_fraud,bank_alert,hg,attached_file_no_link,SBI,+91 7700XXXX45,synthetic_v2,2,loan_app_fraud
36,"Priya Grahak, Aapko PhonePe Rewards se Rs 25000 cashback mila hai. Kripya turant action le, warna aapka account block ho jayega. Niche diye link se app install kare.
phonepe-reward.info
PhonePe_Reward.apk",spam,apk_fraud,upi_cashback,hg,link_apk,PhonePe Rewards,AD-NETFLX,synthetic_v2,2,loan_app_fraud
38,"Dear Customer, Aapke SBI account se Rs 5000 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. jaldi se jaldi jawab de, nahi to connection cut ho jayega. Aapse contact karne ki koshish ki thi. Niche diye number par call kare, hamara representative aapko verification process me guide karega.",spam,apk_fraud,bank_alert,hg,vishing_callback,SBI,VM-SBIBNK,synthetic_v2,2,loan_app_fraud
101,"Priya Grahak, Aapke RBL Bank account se Rs 25000 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. jaldi se jaldi jawab de, nahi to legal action hoga. Attached file check kare aur use khol kar aage badhe.
[Forwarded] RBL_Protect.apk  14 MB . APK",spam,apk_fraud,bank_alert,hg,attached_file_no_link,RBL Bank,AX-PWRBIL,synthetic_v2,2,loan_app_fraud
118,"Priya Grahak, Congratulations! QuickLoan Finance se Rs 2000 ka pre-approved offer mila hai. turant jawab de, nahi to aapka account block ho jayega. Niche diye link se app install kare.
quickloan-approve.xyz
Loan_Approval.apk",spam,apk_fraud,loan_job,hg,link_apk,QuickLoan Finance,VK-UPIRWD,synthetic_v2,2,loan_app_fraud
121,Badhai ho! Aapne Rs 750 ka prize jeeta hai.. Abhi claim kare bedy13.com/update par warna offer khatam ho jayega.,spam,link_fraud,prize_link,hg,link_only,,VK-INDPST,synthetic_v2,2,loan_app_fraud
