id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
14,Congratulations! You have WON a cash prize of Rs 25000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-RTOGOV,synthetic_v2,9,lottery_reward_cashback_scam
49,"Congratulations! You are eligible for a pre-approved offer of Rs 5000 from InstaCredit.
कृपया आजच कारवाई करा , अन्यथा तुमचे खाते बंद होईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] InstaCredit.apk  14 MB . APK",spam,apk_fraud,loan_job,mr,attached_file_no_link,InstaCredit,VK-RTOGOV,synthetic_v2,9,lottery_reward_cashback_scam
50,"Congratulations! You are eligible for a pre-approved offer of Rs 500 from HR Recruitment Cell. Kindly respond within 24 hours, otherwise your account will be blocked. Click the link below and install the app to proceed.
job-portal-apply.tk
Job_Portal.apk",spam,apk_fraud,loan_job,en,link_apk,HR Recruitment Cell,JD-ITAXRF,synthetic_v2,9,lottery_reward_cashback_scam
55,"आदरणीय ग्राहक, Congratulations! You are eligible FOR a pre-approved offer of Rs 25000 from QuickLoan Finance. कृपया त्वरित कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल. कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा. [फॉरवर्ड केलेले] Loan_Approval.apk 14 MB . APK",spam,apk_fraud,loan_job,mr,attached_file_no_link,QuickLoan Finance,JD-ITAXRF,synthetic_v2,9,lottery_reward_cashback_scam
59,Congratulations! You have won a cash prize of Rs 1500. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-NETFLX,synthetic_v2,9,lottery_reward_cashback_scam
84,Congratulations! You have won a cash prize of Rs 1000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,AX-PWRBIL,synthetic_v2,9,lottery_reward_cashback_scam
89,Congratulations! You have won a cash prize of Rs 2000. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-INDPST,synthetic_v2,9,lottery_reward_cashback_scam
91,"Dear Sir/Madam, Congratulations! You are eligible for a pre-approved offer of Rs 1500 from QuickLoan Finance. Please act before midnight or you will lose this offer. Click the link below and install the app to proceed.
quickloan-approve.xyz
Loan_Approval.apk",spam,apk_fraud,loan_job,en,link_apk,QuickLoan Finance,+91 8800XXXX12,synthetic_v2,9,lottery_reward_cashback_scam
112,"عزیز صارف،
Congratulations! You are eligible for a pre-approved offer of Rs 1000 from InstaCredit.
براہ کرم فوری طور پر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
Click and open the pdf file below and check your details.
[Forwarded] InstaCredit.apk  14 MB . APK",spam,apk_fraud,loan_job,ur,pdf_then_apk,InstaCredit,VK-RTOGOV,synthetic_v2,9,lottery_reward_cashback_scam
114,Congratulations! You have won a cash prize of Rs 1500. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-ICICIB,synthetic_v2,9,lottery_reward_cashback_scam
