id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
15,"محترم گاہک،
Your WhatsApp account will be suspended due to unusual login activity.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
whatsapp-verify-acc.xyz
WhatsApp_Verify.apk",spam,apk_fraud,security_verify,ur,link_apk,WhatsApp,AD-NETFLX,synthetic_v2,8,direct_apk_6
19,"عزیز صارف،
آپ کی گاڑی کے خلاف ٹریفک قوانین کی خلاف ورزی درج کی گئی ہے۔ جرمانہ: 25000 روپے۔ چالان نمبر: CH76659467۔
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
parivahan-gov.xyz/challan
VAHAN_PARIVAHAN.apk",spam,apk_fraud,rto_challan,ur,link_apk,Parivahan / RTO Traffic Police,VK-LOANAP,synthetic_v2,8,direct_apk_6
63,"عزیز صارف،
Income Tax Dept e-Filing: You are eligible for a refund of Rs 200..
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
it-refund-portal.info
IT_Refund_Portal.apk",spam,apk_fraud,govt_refund,ur,link_apk,Income Tax Dept e-Filing,JD-ITAXRF,synthetic_v2,8,direct_apk_6
112,"عزیز صارف،
Congratulations! You are eligible for a pre-approved offer of Rs 1000 from InstaCredit.
براہ کرم فوری طور پر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
Click and open the pdf file below and check your details.
[Forwarded] InstaCredit.apk  14 MB . APK",spam,apk_fraud,loan_job,ur,pdf_then_apk,InstaCredit,VK-RTOGOV,synthetic_v2,8,direct_apk_6
171,"محترم گاہک،
INR 750 was debited from your SBI account. If this was not done by you, secure your account now.
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
براہ کرم منسلک فائل دیکھیں اور آگے بڑھنے کے لیے اسے کھولیں۔
[فارورڈ شدہ] SBI_Secure.apk  14 MB . APK",spam,apk_fraud,bank_alert,ur,attached_file_no_link,SBI,AD-NETFLX,synthetic_v2,8,direct_apk_6
193,"محترم گاہک،
آپ کی گاڑی کے خلاف ٹریفک قوانین کی خلاف ورزی درج کی گئی ہے۔ جرمانہ: 2000 روپے۔ چالان نمبر: CH48941046۔
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
parivahan-gov.xyz/challan
VAHAN_PARIVAHAN.apk",spam,apk_fraud,rto_challan,ur,link_apk,Parivahan / RTO Traffic Police,VM-SBIBNK,synthetic_v2,8,direct_apk_6
207,"عزیز صارف،
Netflix: Your membership has expired.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,ott_subscription,ur,vishing_callback,Netflix,AX-PWRBIL,synthetic_v2,8,direct_apk_6
229,"عزیز صارف،
Your BlueDart parcel with tracking code GB-3911-C66 could not be delivered due to incomplete address.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
Scan the QR code attached to this message to complete verification instantly.",spam,apk_fraud,courier,ur,qr_code,BlueDart,JD-ITAXRF,synthetic_v2,8,direct_apk_6
260,"محترم گاہک،
آپ کی HDFC Bank KYC کی میعاد ختم ہو گئی ہے اور دوبارہ تصدیق ضروری ہے۔
براہ کرم فوری طور پر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
hdfc-kyc-update.info
HDFC_KYCUpdate.apk",spam,apk_fraud,bank_kyc,ur,link_apk,HDFC Bank,AD-NETFLX,synthetic_v2,8,direct_apk_6
261,"محترم گاہک،
آپ کا Power Distribution Co بجلی کا بل 2000 روپے واجب الادا ہے۔
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,ur,link_apk,Power Distribution Co,VK-LOANAP,synthetic_v2,8,direct_apk_6
