id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
8,"Hello Amit, your FEDEX package with tracking code GB-4970-F64 is waiting for you to set delivery preferences: bit.ly/3xK9pL",spam,link_fraud,fake_delivery_link,en,link_only,,VK-LOANAP,synthetic_v2,4,delivery_parcel_fraud
33,"Hello Pooja, your FEDEX package with tracking code GB-2014-F66 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,INFO-GOVT,synthetic_v2,4,delivery_parcel_fraud
39,"Hello Pooja, your FEDEX package with tracking code GB-1626-G66 is waiting for you to set delivery preferences: e3fmr.info/track",spam,link_fraud,fake_delivery_link,en,link_only,,VK-RTOGOV,synthetic_v2,4,delivery_parcel_fraud
47,"Hello Amit, your FEDEX package with tracking code GB-8605-B45 is waiting for you to set delivery preferences: e3fmr.info/track",spam,link_fraud,fake_delivery_link,en,link_only,,VM-WHATSP,synthetic_v2,4,delivery_parcel_fraud
56,"Hello Pooja, your FEDEX package with tracking code GB-2088-D58 is waiting for you to set delivery preferences: bit.ly/3xK9pL",spam,link_fraud,fake_delivery_link,en,link_only,,+91 7700XXXX45,synthetic_v2,4,delivery_parcel_fraud
61,"आदरणीय ग्राहक,
आपका FedEx पार्सल ट्रैकिंग कोड GB-5357-F96 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,hi,link_apk,FedEx,JD-ITAXRF,synthetic_v2,4,delivery_parcel_fraud
82,"Hello Rajesh, your FEDEX package with tracking code GB-6263-D94 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,+91 7700XXXX45,synthetic_v2,4,delivery_parcel_fraud
99,"Hello Vikram, ur FEDEX package with tracking code GB-2674-A96 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,AD-ICICIB,synthetic_v2,4,delivery_parcel_fraud
103,"Hello Vikram, your FEDEX package with tracking code GB-5975-E38 is waiting for you to set delivery preferences: cutt.ly/fakeapp",spam,link_fraud,fake_delivery_link,en,link_only,,+91 8800XXXX12,synthetic_v2,4,delivery_parcel_fraud
124,"Hello Rajesh, your FEDEX package with tracking code GB-9938-A95 is WAITING for you to set delivery preferences: bit.ly/3xK9pL",spam,link_fraud,fake_delivery_link,en,link_only,,AX-PWRBIL,synthetic_v2,4,delivery_parcel_fraud
139,"Your FedEx parcel with tracking code GB-6878-G67 could not be delivered due to incomplete address.
தயவுசெய்து 24 மணி நேரத்திற்குள் நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும்.
கீழே உள்ள இணைப்பிலிருந்து ஆப்பை நிறுவவும்.
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,ta,link_apk,FedEx,VM-SBIBNK,synthetic_v2,4,delivery_parcel_fraud
149,"Hello Anjali, your FEDEX package with tracking code GB-3187-C66 is waiting for you to set delivery preferences: bedy13.com/update",spam,link_fraud,fake_delivery_link,en,link_only,,AD-NETFLX,synthetic_v2,4,delivery_parcel_fraud
214,"Hello Manoj, your FEDEX package with tracking code GB-3836-G35 is waiting for you to set delivery preferences: e5nbu.xyz/claim",spam,link_fraud,fake_delivery_link,en,link_only,,+91 7700XXXX45,synthetic_v2,4,delivery_parcel_fraud
224,"Dear User, Your FedEx parcel with tracking code GB-7557-C76 could not be delivered due to incomplete address. Please act within 24 hours or your connection will be disconnected. Please check the attached file for full details and open it to proceed.
[Forwarded] FedEx_Delivery.apk  14 MB . APK",spam,apk_fraud,courier,en,attached_file_no_link,FedEx,VK-INDPST,synthetic_v2,4,delivery_parcel_fraud
242,"Hello Suresh, your FEDEX package with tracking code GB-8505-G93 is waiting for you to set delivery preferences: e3fmr.info/track",spam,link_fraud,fake_delivery_link,en,link_only,,VK-LOANAP,synthetic_v2,4,delivery_parcel_fraud
245,"Hello Priya, your FEDEX package with tracking code GB-8738-C88 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,VK-INDPST,synthetic_v2,4,delivery_parcel_fraud
248,"প্রিয় গ্রাহক,
আপনার FedEx পার্সেল ট্র্যাকিং কোড GB-6133-F71 অসম্পূর্ণ ঠিকানার কারণে ডেলিভার করা যায়নি।
অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন।
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,bn,link_apk,FedEx,+91 8800XXXX12,synthetic_v2,4,delivery_parcel_fraud
298,"Hello Anjali, your FEDEX package with tracking code GB-3531-E21 is waiting for you to set delivery preferences: bedy13.com/update",spam,link_fraud,fake_delivery_link,en,link_only,,JD-ITAXRF,synthetic_v2,4,delivery_parcel_fraud
316,"Hello Manoj, your FEDEX package with tracking code GB-4473-H44 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,VK-RTOGOV,synthetic_v2,4,delivery_parcel_fraud
326,"ਪਿਆਰੇ ਗਾਹਕ ,
Your FedEx parcel with tracking code GB-5987-D75 could not be delivered due to incomplete address.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
Scan the QR code attached to this message to complete verification instantly.",spam,apk_fraud,courier,pa,qr_code,FedEx,INFO-GOVT,synthetic_v2,4,delivery_parcel_fraud
345,"आदरणीय ग्राहक, आपका FedEx पार्सल ट्रैकिंग कोड GB-4517-C41 अधूरे पते के कारण वितरित नहीं किया जा सका। कृपया तुरंत कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। fedex-delivery-in.xyz FedEx_Delivery.apk",spam,apk_fraud,courier,hi,link_apk,FedEx,AD-ICICIB,synthetic_v2,4,delivery_parcel_fraud
377,"Dear Sir/Madam, Your FedEx parcel with tracking code GB-1866-D66 could not be delivered due to incomplete address. Please act right now to avoid penalty or legal action will be taken against you. Click the link below and install the app to proceed.
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,en,link_apk,FedEx,+91 8800XXXX12,synthetic_v2,4,delivery_parcel_fraud
391,"Hello Vikram, your FEDEX package with tracking code GB-5146-H36 is waiting for you to set delivery preferences: e5nbu.xyz/claim",spam,link_fraud,fake_delivery_link,en,link_only,,VM-SBIBNK,synthetic_v2,4,delivery_parcel_fraud
395,"Hello Suresh, your FEDEX package with tracking code GB-8260-B91 is waiting for you to set delivery preferences: bedy13.com/update",spam,link_fraud,fake_delivery_link,en,link_only,,AX-PWRBIL,synthetic_v2,4,delivery_parcel_fraud
401,"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ,
Your FedEx parcel with tracking code GB-1569-H60 could not be delivered due to incomplete address.
ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ।
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,pa,link_apk,FedEx,AD-NETFLX,synthetic_v2,4,delivery_parcel_fraud
402,"आदरणीय ग्राहक,
तुमचे FedEx पार्सल ट्रॅकिंग कोड GB-9914-G66 अपूर्ण पत्त्यामुळे वितरित होऊ शकले नाही..
कृपया आजच कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] FedEx_Delivery.apk  14 MB . APK",spam,apk_fraud,courier,mr,attached_file_no_link,FedEx,AD-ICICIB,synthetic_v2,4,delivery_parcel_fraud
426,"Hello Sunita, your FEDEX package with tracking code GB-4555-G24 is waiting for you to set delivery preferences: e5nbu.xyz/claim",spam,link_fraud,fake_delivery_link,en,link_only,,VM-SBIBNK,synthetic_v2,4,delivery_parcel_fraud
446,"Hello Anjali, your FEDEX package with tracking code GB-6817-G32 is waiting for you to set delivery preferences: bit.ly/3xK9pL",spam,link_fraud,fake_delivery_link,en,link_only,,AD-NETFLX,synthetic_v2,4,delivery_parcel_fraud
457,"Hello Rajesh, your FEDEX package with tracking code GB-6758-B25 is waiting for you to set delivery preferences: e5nbu.xyz/claim",spam,link_fraud,fake_delivery_link,en,link_only,,INFO-GOVT,synthetic_v2,4,delivery_parcel_fraud
469,"प्रिय ग्राहक ,
आपका FedEx पार्सल ट्रैकिंग कोड GB-5386-A15 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,hi,link_apk,FedEx,JD-ITAXRF,synthetic_v2,4,delivery_parcel_fraud
