id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
14,Congratulations! You have WON a cash prize of Rs 25000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-RTOGOV,synthetic_v2,7,lottery_reward
59,Congratulations! You have won a cash prize of Rs 1500. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-NETFLX,synthetic_v2,7,lottery_reward
84,Congratulations! You have won a cash prize of Rs 1000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,AX-PWRBIL,synthetic_v2,7,lottery_reward
89,Congratulations! You have won a cash prize of Rs 2000. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-INDPST,synthetic_v2,7,lottery_reward
114,Congratulations! You have won a cash prize of Rs 1500. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-ICICIB,synthetic_v2,7,lottery_reward
132,Congratulations! You have won a cash prize OF Rs 200. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,VM-SBIBNK,synthetic_v2,7,lottery_reward
140,Congratulations! You have won a cash prize of Rs 1000. Claim now at cutt.ly/fakeapp before it expires.,spam,link_fraud,prize_link,en,link_only,,+91 8800XXXX12,synthetic_v2,7,lottery_reward
165,Congratulations! You have won a cash prize of Rs 200. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,VM-WHATSP,synthetic_v2,7,lottery_reward
187,Congratulations! You have won a cash prize of Rs 50000. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-RTOGOV,synthetic_v2,7,lottery_reward
205,Congratulations! You have won a cash prize of Rs 50000. Claim now at e3fmr.info/track before it expires.,spam,link_fraud,prize_link,en,link_only,,VM-WHATSP,synthetic_v2,7,lottery_reward
258,Congratulations! You have won a cash prize of Rs 200. Claim now at e3fmr.info/track before it expires.,spam,link_fraud,prize_link,en,link_only,,AX-PWRBIL,synthetic_v2,7,lottery_reward
366,Congratulations! YOU have won a cash prize of Rs 750. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,INFO-GOVT,synthetic_v2,7,lottery_reward
404,Congratulations! You have won a cash prize of Rs 1500. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,JD-ITAXRF,synthetic_v2,7,lottery_reward
427,Congratulations! You have won a cash prize of Rs 750. Claim now at bedy13.com/update before it expires.,spam,link_fraud,prize_link,en,link_only,,+91 8800XXXX12,synthetic_v2,7,lottery_reward
477,Congratulations! You have won a cash prize of Rs 500. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,VM-SBIBNK,synthetic_v2,7,lottery_reward
548,Congratulations! You have won a cash prize of Rs 25000. Claim now at tinyurl.com/y8mfraud before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-ICICIB,synthetic_v2,7,lottery_reward
755,Congratulations! You have won a cash prize of Rs 500. Claim now at tinyurl.com/y8mfraud before it EXPIRES.,spam,link_fraud,prize_link,en,link_only,,AD-NETFLX,synthetic_v2,7,lottery_reward
793,Congratulations! You have won a cash prize of Rs 5000.. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,AD-NETFLX,synthetic_v2,7,lottery_reward
852,Congratulations! You have won a cash prize of Rs 200. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-LOANAP,synthetic_v2,7,lottery_reward
916,Congratulations! You have won a cash prize of Rs 50000. Claim now at bedy13.com/update before it expires.,spam,link_fraud,prize_link,en,link_only,,AX-PWRBIL,synthetic_v2,7,lottery_reward
973,Congratulations! You have won a cash prize of Rs 750. Claim now at e3fmr.info/track before it expires.,spam,link_fraud,prize_link,en,link_only,,INFO-GOVT,synthetic_v2,7,lottery_reward
1004,Congratulations! You have won a cash prize of Rs 5000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,+91 8800XXXX12,synthetic_v2,7,lottery_reward
