id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
21,"Dear Vehicle Owner, Income Tax Dept e-Filing: You are eligible for a refund of Rs 2000. Kindly respond today itself, otherwise your account will be blocked. Click the link below and install the app to proceed.
it-refund-portal.info
IT_Refund_Portal.apk",spam,apk_fraud,govt_refund,en,link_apk,Income Tax Dept e-Filing,INFO-GOVT,synthetic_v2,6,aadhaar_pan_kyc_fraud
57,"அன்புள்ள வாடிக்கையாளர்,
Income Tax Department: You are eligible for a refund of Rs 750.
தயவுசெய்து உடனடியாக நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும்.
Click and open the pdf file below and check your details.
[Forwarded] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,ta,pdf_then_apk,Income Tax Department,INFO-GOVT,synthetic_v2,6,aadhaar_pan_kyc_fraud
63,"عزیز صارف،
Income Tax Dept e-Filing: You are eligible for a refund of Rs 200..
براہ کرم آج ہی اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
it-refund-portal.info
IT_Refund_Portal.apk",spam,apk_fraud,govt_refund,ur,link_apk,Income Tax Dept e-Filing,JD-ITAXRF,synthetic_v2,6,aadhaar_pan_kyc_fraud
87,"Namaste Customer, Income Tax Dept e-Filing: Aapko Rs 50000 ka refund milne wala hai. jaldi se jaldi jawab de, nahi to legal action hoga. Is message ke sath attach QR code scan kare aur turant verify kare.",spam,apk_fraud,govt_refund,hg,qr_code,Income Tax Dept e-Filing,JD-ITAXRF,synthetic_v2,6,aadhaar_pan_kyc_fraud
109,"प्रिय ग्राहक ,
Income Tax Department: तुम्ही रु 5000 परतावा मिळण्यास पात्र आहात.
कृपया आजच कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,mr,attached_file_no_link,Income Tax Department,+91 8800XXXX12,synthetic_v2,6,aadhaar_pan_kyc_fraud
155,"प्रिय ग्राहक,
Income Tax Department: आप रु 2000 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
incometax-refund.xyz
TaxRefund_IT.apk",spam,apk_fraud,govt_refund,hi,link_apk,Income Tax Department,+91 8800XXXX12,synthetic_v2,6,aadhaar_pan_kyc_fraud
190,"प्रिय ग्राहक,
Income Tax Dept e-Filing: आप रु 200 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] IT_Refund_Portal.apk  14 MB . APK",spam,apk_fraud,govt_refund,hi,attached_file_no_link,Income Tax Dept e-Filing,VK-UPIRWD,synthetic_v2,6,aadhaar_pan_kyc_fraud
215,"Income Tax Department: Aapko Rs 50000 ka refund milne wala hai.. Kripya aaj hi action le, warna aapka account block ho jayega. Niche diye link se app install kare.
incometax-refund.xyz
TaxRefund_IT.apk",spam,apk_fraud,govt_refund,hg,link_apk,Income Tax Department,VK-LOANAP,synthetic_v2,6,aadhaar_pan_kyc_fraud
251,"Income Tax Department: You are eligible for a refund of Rs 25000.
ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
Scan the QR code attached to this message to complete verification instantly.",spam,apk_fraud,govt_refund,pa,qr_code,Income Tax Department,VK-INDPST,synthetic_v2,6,aadhaar_pan_kyc_fraud
266,"Dear Customer, Income Tax Dept e-Filing: Aapko Rs 200 ka refund milne wala hai. jaldi se jaldi jawab de, nahi to connection cut ho jayega. Aapke recent request ke baare me ek zaroori update hai. Niche diya document kholkar process complete kare.
[Forwarded] ",spam,apk_fraud,govt_refund,hg,no_explicit_app_word,Income Tax Dept e-Filing,VK-INDPST,synthetic_v2,6,aadhaar_pan_kyc_fraud
308,"प्रिय उपयोगकर्ता,
Income Tax Dept e-Filing: आप रु 1000 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें।
[अग्रेषित] ",spam,apk_fraud,govt_refund,hi,no_explicit_app_word,Income Tax Dept e-Filing,VM-WHATSP,synthetic_v2,6,aadhaar_pan_kyc_fraud
327,"Income Tax Department: Aapko Rs 750 ka refund milne wala hai. turant jawab de, nahi to aapka account block ho jayega. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,hg,pdf_then_apk,Income Tax Department,+91 7700XXXX45,synthetic_v2,6,aadhaar_pan_kyc_fraud
339,"Income Tax Dept e-Filing: Aapko Rs 5000 ka refund milne wala hai. 24 ghante ke andar jawab de, nahi to legal action hoga. Attached file check kare aur use khol kar aage badhe.
[Forwarded] IT_Refund_Portal.apk  14 MB . APK",spam,apk_fraud,govt_refund,hg,attached_file_no_link,Income Tax Dept e-Filing,VM-WHATSP,synthetic_v2,6,aadhaar_pan_kyc_fraud
360,"প্রিয় গ্রাহক,
Income Tax Department: You are eligible for a refund of Rs 500.
অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
এই বার্তার সাথে সংযুক্ত কিউআর কোডটি স্ক্যান করুন এবং অবিলম্বে যাচাই করুন।",spam,apk_fraud,govt_refund,bn,qr_code,Income Tax Department,VM-WHATSP,synthetic_v2,6,aadhaar_pan_kyc_fraud
450,"প্রিয় গ্রাহক,
Income Tax Dept e-Filing: You are eligible for a refund of Rs 5000.
অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন।
it-refund-portal.info
IT_Refund_Portal.apk",spam,apk_fraud,govt_refund,bn,link_apk,Income Tax Dept e-Filing,AD-NETFLX,synthetic_v2,6,aadhaar_pan_kyc_fraud
456,"Dear Customer, Income Tax Department: You are eligible for a refund of Rs 750. Please act today itself or your connection will be disconnected. Please check the attached file for full details and open it to proceed.
[Forwarded] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,en,attached_file_no_link,Income Tax Department,AD-ICICIB,synthetic_v2,6,aadhaar_pan_kyc_fraud
460,"प्रिय ग्राहक,
Income Tax Department: आप रु 1500 की वापसी के पात्र हैं।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam,apk_fraud,govt_refund,hi,qr_code,Income Tax Department,VK-UPIRWD,synthetic_v2,6,aadhaar_pan_kyc_fraud
464,"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ, Income Tax Dept e-Filing: You are eligible for a refund of Rs 2000. ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। Scan teh QR code attached to this message to complete verification instantly.",spam,apk_fraud,govt_refund,pa,qr_code,Income Tax Dept e-Filing,AX-PWRBIL,synthetic_v2,6,aadhaar_pan_kyc_fraud
488,"عزیز صارف،
Income Tax Department: You are eligible for a refund of Rs 200.
براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔
نیچے دیے گئے لنک سے ایپ انسٹال کریں۔
incometax-refund.xyz
TaxRefund_IT.apk",spam,apk_fraud,govt_refund,ur,link_apk,Income Tax Department,VK-LOANAP,synthetic_v2,6,aadhaar_pan_kyc_fraud
492,"Dear User, Income Tax Dept e-Filing: You are eligible for a refund of Rs 5000. Kindly respond immediately, otherwise your account will be blocked. Scan the QR code attached to this message to complete verification instantly.",spam,apk_fraud,govt_refund,en,qr_code,Income Tax Dept e-Filing,VM-SBIBNK,synthetic_v2,6,aadhaar_pan_kyc_fraud
507,"Priya Grahak, Income Tax Department: Aapko Rs 50000 ka refund milne wala hai. aaj hi jawab de, nahi to legal action hoga. Attached file check kare aur use khol kar aage badhe.
[Forwarded] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,hg,attached_file_no_link,Income Tax Department,AX-PWRBIL,synthetic_v2,6,aadhaar_pan_kyc_fraud
508,"Income Tax Dept e-Filing: You are eligible for a refund of Rs 500.
தயவுசெய்து உடனடியாக நடவடிக்கை எடுக்கவும், இல்லையெனில் உங்கள் கணக்கு முடக்கப்படும்.
Scan teh QR code attached to this message to complete verification instantly.",spam,apk_fraud,govt_refund,ta,qr_code,Income Tax Dept e-Filing,VK-UPIRWD,synthetic_v2,6,aadhaar_pan_kyc_fraud
539,"आदरणीय ग्राहक,
Income Tax Dept e-Filing: आप रु 200 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
हमने आपसे संपर्क करने का प्रयास किया। कृपया नीचे दिए गए नंबर पर कॉल करें, हमारा प्रतिनिधि आपको सत्यापन प्रक्रिया में मार्गदर्शन करेगा।",spam,apk_fraud,govt_refund,hi,vishing_callback,Income Tax Dept e-Filing,VM-WHATSP,synthetic_v2,6,aadhaar_pan_kyc_fraud
572,"Priya Grahak, Income Tax Dept e-Filing: Aapko Rs 50000 ka refund milne wala hai. aaj hi jawab de, nahi to legal action hoga. Attached file check kare aur use khol kar aage badhe.
[Forwarded] IT_Refund_Portal.apk  14 MB . APK",spam,apk_fraud,govt_refund,hg,attached_file_no_link,Income Tax Dept e-Filing,JD-ITAXRF,synthetic_v2,6,aadhaar_pan_kyc_fraud
