id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
48,"तुमच्या वाहनावर वाहतूक नियम उल्लंघन नोंदवले गेले आहे. दंड रक्कम: रु 750. चलन क्रमांक: CH55873760.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",spam,apk_fraud,rto_challan,mr,vishing_callback,Parivahan / RTO Traffic Police,VK-UPIRWD,synthetic_v2,2,direct_apk_2
49,"Congratulations! You are eligible for a pre-approved offer of Rs 5000 from InstaCredit.
कृपया आजच कारवाई करा , अन्यथा तुमचे खाते बंद होईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] InstaCredit.apk  14 MB . APK",spam,apk_fraud,loan_job,mr,attached_file_no_link,InstaCredit,VK-RTOGOV,synthetic_v2,2,direct_apk_2
55,"आदरणीय ग्राहक, Congratulations! You are eligible FOR a pre-approved offer of Rs 25000 from QuickLoan Finance. कृपया त्वरित कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल. कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा. [फॉरवर्ड केलेले] Loan_Approval.apk 14 MB . APK",spam,apk_fraud,loan_job,mr,attached_file_no_link,QuickLoan Finance,JD-ITAXRF,synthetic_v2,2,direct_apk_2
68,"प्रिय ग्राहक,
Your electricity bill of Rs 200 with Power Distribution Co is pending.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] PowerPay_App.apk  14 MB . APK",spam,apk_fraud,electricity,mr,attached_file_no_link,Power Distribution Co,VK-RTOGOV,synthetic_v2,2,direct_apk_2
77,"प्रिय ग्राहक,
तुमच्या वाहनावर वाहतूक नियम उल्लंघन नोंदवले गेले आहे. दंड रक्कम: रु 2000. चलन क्रमांक: CH39417237.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] ParivahanSewa.apk  14 MB . APK",spam,apk_fraud,rto_challan,mr,attached_file_no_link,Parivahan Sewa,AX-PWRBIL,synthetic_v2,2,direct_apk_2
97,"You have received a cashback of Rs 500 from Paytm Cashback..
कृपया त्वरित कारवाई करा , अन्यथा तुमचे कनेक्शन तोडले जाईल.
खालील पीडीएफ फाईल उघडून तुमचे तपशील तपासा.
[फॉरवर्ड केलेले] Paytm_Cashback.apk  14 MB . APK",spam,apk_fraud,upi_cashback,mr,pdf_then_apk,Paytm Cashback,AD-ICICIB,synthetic_v2,2,direct_apk_2
98,"आदरणीय ग्राहक,
You have received a cashback of Rs 2000 from UPI Rewards.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,mr,link_apk,UPI Rewards,VK-INDPST,synthetic_v2,2,direct_apk_2
109,"प्रिय ग्राहक ,
Income Tax Department: तुम्ही रु 5000 परतावा मिळण्यास पात्र आहात.
कृपया आजच कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] TaxRefund_IT.apk  14 MB . APK",spam,apk_fraud,govt_refund,mr,attached_file_no_link,Income Tax Department,+91 8800XXXX12,synthetic_v2,2,direct_apk_2
110,"You have received a cashback of Rs 25000 from UPI Rewards.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,mr,link_apk,UPI Rewards,JD-ITAXRF,synthetic_v2,2,direct_apk_2
123,"आदरणीय ग्राहक,
तुमचे PNB केवायसी संपले आहे आणि पुन्हा पडताळणी आवश्यक आहे.
कृपया आजच कारवाई करा, अन्यथा तुमचे खाते बंद होईल.
खालील लिंकवरून अॅप इंस्टॉल करा.
pnb-ekyc-verify.xyz
PNB_eKYC.apk",spam,apk_fraud,bank_kyc,mr,link_apk,PNB,AX-PWRBIL,synthetic_v2,2,direct_apk_2
