id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
12,Your OTP for a transaction of INR 200 is 8262. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
24,Your OTP for a transaction of INR 25000 is 8566. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-SBIBNK,synthetic_v2,5,banking_kyc_phishing
51,Your OTP for a transaction of INR 2000 is 5345.. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2,5,banking_kyc_phishing
52,Your OTP for a transaction of INR 500 is 9611. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2,5,banking_kyc_phishing
73,Your OTP for a transaction of INR 5000 is 7417. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2,5,banking_kyc_phishing
93,Your OTP FOR a transaction of INR 2000 is 2645. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-NETFLX,synthetic_v2,5,banking_kyc_phishing
104,Your OTP for a transaction of INR 1000 is 3670. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-RTOGOV,synthetic_v2,5,banking_kyc_phishing
113,Your OTP for a transaction of INR 25000 is 3660. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-WHATSP,synthetic_v2,5,banking_kyc_phishing
128,Your OTP for a transaction of INR 25000 is 9303. Do NOT share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-NETFLX,synthetic_v2,5,banking_kyc_phishing
136,Your OTP for a transaction of INR 200 is 2888. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
146,Your OTP for a transaction of INR 200 is 5292. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2,5,banking_kyc_phishing
176,Your OTP for a transaction of INR 5000 is 8719. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-WHATSP,synthetic_v2,5,banking_kyc_phishing
189,Your OTP for a transaction of INR 1000 is 9016. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-RTOGOV,synthetic_v2,5,banking_kyc_phishing
201,Your OTP for a transaction of INR 750 is 8622. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
216,Your OTP for a transaction of INR 200 is 6993. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-RTOGOV,synthetic_v2,5,banking_kyc_phishing
222,Your OTP for a transaction of INR 50000 is 3936. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
230,Your OTP for a transaction of INR 2000 is 2571. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,JD-ITAXRF,synthetic_v2,5,banking_kyc_phishing
237,Your OTP for a transaction of INR 2000 is 1759. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-WHATSP,synthetic_v2,5,banking_kyc_phishing
270,Your OTP for a transaction of INR 25000 is 6748. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2,5,banking_kyc_phishing
281,Your OTP for a transaction of INR 1500 is 4712. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
285,Your OTP for a transaction of INR 5000 is 9876. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-UPIRWD,synthetic_v2,5,banking_kyc_phishing
296,Your OTP for a transaction of INR 50000 is 6899. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-WHATSP,synthetic_v2,5,banking_kyc_phishing
303,Your OTP for a transaction of INR 1500 is 3234. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
307,Your OTP for a transaction of INR 750 is 6341. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,INFO-GOVT,synthetic_v2,5,banking_kyc_phishing
315,Your OTP for a transaction of INR 1000 is 4247. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
325,Your OTP for a transaction of INR 50000 is 1701. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
329,Your OTP for a transaction OF INR 500 is 6297. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2,5,banking_kyc_phishing
346,Your OTP for a transaction of INR 1000 is 1001. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-RTOGOV,synthetic_v2,5,banking_kyc_phishing
361,Your OTP for a transaction of INR 25000 is 8693. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
367,Your OTP for a transaction of INR 25000 is 5040. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2,5,banking_kyc_phishing
471,Your OTP for a transaction of INR 1000 is 8082. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 7700XXXX45,synthetic_v2,5,banking_kyc_phishing
486,Your OTP for a transaction of INR 200 is 3353. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,JD-ITAXRF,synthetic_v2,5,banking_kyc_phishing
497,Your OTP for a transaction of INR 25000 is 3929. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
506,Your OTP for a transaction of INR 2000 is 5014. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 7700XXXX45,synthetic_v2,5,banking_kyc_phishing
512,Your OTP for a transaction of INR 5000 is 1564. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
520,Your OTP for a transaction of INR 1500 is 4292. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
535,Your OTP for a transaction of INR 500 is 9539. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-WHATSP,synthetic_v2,5,banking_kyc_phishing
538,Your OTP for a transaction of INR 2000 is 6230. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,INFO-GOVT,synthetic_v2,5,banking_kyc_phishing
585,Your OTP for a transaction of INR 25000 is 9131. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2,5,banking_kyc_phishing
615,Your OTP for a transaction of INR 1500 is 4460. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
617,Your OTP for a transaction of INR 5000 is 3050. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2,5,banking_kyc_phishing
621,Your OTP for a transaction of INR 2000 is 2508. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
630,Your OTP for a transaction of INR 2000 is 8664. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
647,Your OTP for a transaction of INR 2000 is 4043. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
657,Your OTP for a transaction of INR 5000 is 5445. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-UPIRWD,synthetic_v2,5,banking_kyc_phishing
660,Your OTP for a transaction of INR 50000 is 8024. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2,5,banking_kyc_phishing
678,Your OTP for a transaction of INR 1500 is 9752. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,+91 8800XXXX12,synthetic_v2,5,banking_kyc_phishing
691,Your OTP for a transaction of INR 200 is 1112. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-RTOGOV,synthetic_v2,5,banking_kyc_phishing
714,Your OTP for a transaction of INR 25000 is 2765. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-UPIRWD,synthetic_v2,5,banking_kyc_phishing
718,Your OTP for a transaction of INR 1500 is 2757. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,JD-ITAXRF,synthetic_v2,5,banking_kyc_phishing
720,Your OTP for a transaction of INR 1500 is 7341. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VM-SBIBNK,synthetic_v2,5,banking_kyc_phishing
903,Your OTP for a transaction of INR 5000 is 8025. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-INDPST,synthetic_v2,5,banking_kyc_phishing
905,Your OTP for a transaction of INR 1500 is 2771. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
908,Your OTP for a transaction of INR 1500 is 9150. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,JD-ITAXRF,synthetic_v2,5,banking_kyc_phishing
928,Your OTP for a transaction of INR 2000 is 5787. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-LOANAP,synthetic_v2,5,banking_kyc_phishing
938,Your OTP for a transaction of INR 1000 is 1457. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-NETFLX,synthetic_v2,5,banking_kyc_phishing
942,Your OTP for a transaction of INR 2000 is 6049. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-ICICIB,synthetic_v2,5,banking_kyc_phishing
946,Your OTP for a transaction of INR 500 is 9206. Do not share THIS OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-ICICIB,synthetic_v2,5,banking_kyc_phishing
1024,Your OTP for a transaction of INR 5000 is 9474. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-ICICIB,synthetic_v2,5,banking_kyc_phishing
1028,Your OTP for a transaction of INR 5000 is 8904. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,INFO-GOVT,synthetic_v2,5,banking_kyc_phishing
1037,Your OTP for a transaction of INR 5000 is 3988. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2,5,banking_kyc_phishing
1044,Your OTP for a transaction of INR 200 is 6981. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-RTOGOV,synthetic_v2,5,banking_kyc_phishing
1074,Your OTP for A transaction of INR 200 is 9452. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-NETFLX,synthetic_v2,5,banking_kyc_phishing
1079,Your OTP for a transaction of INR 1000 is 5228. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-NETFLX,synthetic_v2,5,banking_kyc_phishing
1107,Your OTP for a transaction of INR 50000 is 2154. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,VK-UPIRWD,synthetic_v2,5,banking_kyc_phishing
