cluster_id,cluster_type,parent_macro_cluster_id,centroid_json,weight,radius,sample_message,region,persona,fraud_type,created_at,updated_at
263d8977-715c-4085-adaa-cef44719f5b7,micro,macro-0,"[0.0626893604085559, 0.3434749245643616, -0.11671119573570433, 0.5101370272182283, 0.1790624594404584, 0.12951665371656418, -0.014084273150988988, -0.12469513643355597, -0.024114038617837997, -0.02988348723877044, 0.11161562445617858, -0.06811713994968505, 0.061172960769562496, 0.14951464462847938, 0.044224226049014506, 0.07236165606549808, 0.08257909012692315, -0.06018324480170295, -0.1526859537476585, -0.09984472535905384, -0.06688644275778817, -0.10900868972142537, 0.07484379836491176, -0.1251561042098772, 0.11591683931293942, 0.04415841915068172, -0.03408537822819892, 0.05780489600840069, -0.021927368161933764, 0.014074192249349185, -0.10178174007506598, -0.0017431423711102632, -0.014012005446212632, -0.0560264667229993, 0.03356288488776911, 0.04491311560074488, -0.01601494238933637, -0.011894690405045236, -0.02957245565596081, 0.016508295067719052, 0.0024147743270510717, -0.002221030138787769, 0.01918551308058557, -0.014440786004776046, 0.006248140308473792, 0.012298830563113802, 0.017379553367694218, 0.02283021328704698, -0.0026640151849105244, -0.019119148231333212, 0.0062751248478889465, -0.00617220394668125, -0.014097970511232103, -0.00017456994170234318, -0.013055442167179925, 0.017482358341415722, 0.010769962554886228, -0.012513745221353713, 0.004604700176666181, -0.005303945392370224, 0.013165556781348727, -0.006989998343799796, -0.012951976220522608, -0.010538506011168161, 0.004755274326141391, 0.0060106560233093445, 0.010717207100242376, -0.0010173713256205828, 0.00661000937578224, 0.003992067383868354, -0.014759869536473638, -0.004280886391089076, -0.019677179943149287, 5.148723721504228e-05, 0.656731527093596, 0.9775843422114606, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3499999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",21,0.35,URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill833.in,Tamil Nadu,general,electricity_utility,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
7d3af8a9-2e40-48d3-abd6-e210c2fe6d23,micro,macro-1,"[-0.32748006213278996, -0.19108169845172338, -0.09799215942621231, -0.024520539346018007, 0.05758508862484069, -0.017461294219607397, 0.35081595324334647, -0.40287902099745615, -0.282755556560698, 0.14665027353025617, -0.18455113683428084, -0.05855699522154672, 0.06265041258718286, -0.04624824332339423, 0.17027318761462254, 0.06269040402202379, 0.054546469379039036, -0.02025652366379897, 0.049757477783021475, 0.03646170525323777, 0.054847921998727886, 0.01605443958015669, -0.044748016233955114, 0.0236795526884851, 0.0176253423449539, -0.016362061103185017, -0.03452285840397788, -0.00013386671032224382, -0.016703747789419833, 0.0299265223244826, 0.0019395904881613596, -0.015221025351257552, 0.005624690536587011, -0.02291969320781174, 0.02676409207439671, 0.008030688478833153, -0.008147870855672019, 0.005132692910376049, -0.014987240589800336, -0.002245839862596421, 0.0026305743626185824, -0.021871241075651988, -0.01566416694827023, 0.019019557784001034, 0.019040452227706, -0.012260181452369406, 0.00705872644625959, -0.0022846412445817676, -0.020640408442843528, -6.368570029735565e-05, 0.00920412175002552, -0.007405940620672135, -0.0024090629248392013, 0.0033702367828005834, 0.004970264044545945, -0.015711566477659204, -0.012855165416286105, 0.005181490133206049, -0.0007284197158047131, 0.005452146310181845, 0.0037576710539204733, 0.003463287660408588, -0.0001277595403648558, 0.000828435378415244, -0.0036955784917587324, 0.003562452360278084, -0.003097943917271637, 0.0004077643333446412, -0.004245544428981486, 0.0025862781774430056, 0.004901463964155742, 0.011819481716624327, 0.00453071124363868, -0.004142935432138897, 1.9440114942528741, 0.7344297820823245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3499999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",21,0.35,Jio: You won 1 year free subscription! Call 922 to claim.,Delhi,general,telecom_offer,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
594301dd-3247-4820-8c14-c5f9970e03bc,micro,macro-2,"[-0.29495243155039275, -0.1908861123598539, -0.49006152840761036, -0.29598055665309614, 0.2457144008232997, 0.23971277475357056, 0.20105168108756727, 0.25559692543286544, 0.14537514631564802, -0.08938299062160346, 0.14978286853203407, 0.10210644396451804, -0.02683100190300208, 0.13731843003859887, 0.11521348643761414, -0.07568698147168525, 0.07884692286069576, 0.023596989420744088, 0.011934874722590813, -0.06621479013791451, -0.023262020773612536, -0.04277062158171947, -0.029468796001030848, 0.08881331407106839, 0.016187680455354545, 0.019736131796470054, 0.051046417882809274, 0.029684816415493306, -0.009373356229983844, -0.006545319992045944, 0.016439014687561072, -0.002265931322024419, -0.0014252233892106093, -0.018010133160994604, 0.023013303629480876, 0.049137387997829, -0.01919072988228156, 0.005249577216230906, -0.00275017091861138, -0.018685000447126534, 0.007324221042486338, -0.014077478303359104, -0.0017152511729643894, -0.0057565773335786965, -0.004341501169479811, -0.012164718901308684, -0.016586748596567374, -0.008940063846799044, -0.000923695472570566, -0.015922795336406965, 0.017272275800888356, 0.004090656741307332, -0.0028635716209044824, -0.008745643955010634, 0.01358517144735043, -0.004751584922464995, -0.0024426871767410864, 0.011832518932911066, -0.004675402449300656, 0.006983234618718808, -0.012496202181165036, 0.004430234933701845, -0.003946333908690856, 0.0004517388744996144, -0.002295965042251807, -0.007579765354211514, -0.005168833375836794, -0.005470317072020127, 0.005929884285880969, -0.007036469303644621, 0.0010080599727538915, -0.00127843667108279, -0.00010957679926202848, 0.000809440532555947, 1.4657911140583553, 1.5476649282920472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0]",13,0.35,Amazon: You won iPhone 15! Claim now: http://amazon-gift920.in,Bihar,general,ecommerce_discount,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
9233bb2e-e9dd-47e1-bc7d-be3f88760f90,micro,macro-3,"[-0.25147212855517864, -0.24303740914911032, 0.27057418972253794, 0.28230274841189384, 0.06571877608075737, -0.2097215037792921, 0.1386104105040431, 0.12287653889507055, -0.06166644603945315, -0.4700140953063965, -0.020283576857764274, 0.055182261392474174, 0.03112763655371964, -0.05396746355108917, 0.10468089580535889, -0.07941984990611674, -0.09356760000810027, 0.07089739805087447, -0.03470167168416082, 0.040350953582674265, -0.026668566511943936, -0.009653248125687242, -0.032282761530950665, -0.05671312380582094, -0.04097325005568564, -0.016727447509765625, -0.018530545523390174, 0.008940424770116806, 0.012060462788213044, -0.022898979543242604, 0.0010518821363803, -0.007867121254093945, 0.01525917963590473, 0.015229047508910298, 0.011036721800337546, 0.016375502571463585, 0.01804142611217685, 0.005095731699839234, 0.0023161349818110466, -0.008252532221376896, -0.011143157258629799, 0.007989910431206226, 0.012516713002696633, -0.006886639748699963, 0.0005119850393384695, 0.0051231522229500115, 0.0011170872021466494, -0.01089369144756347, 0.0013144256954547018, -0.0028775142855010927, -0.0013427624944597483, -0.0036605444038286805, -0.005812168586999178, 0.002121766097843647, 0.007351513020694257, -0.001293417124543339, 0.0017062549013644457, 0.0062670467887073755, -0.011425622447859496, 0.010235477471724153, 0.0011394454631954432, -0.004099524550838396, 0.000711705069988966, -0.0002824947005137801, 0.0058160568587481976, 0.0021986577194184065, -0.0009044510952662678, 0.006615392863750458, 0.004823873576242477, 0.0020836361218243837, -0.0007716076215729117, 0.00029575935332104564, 0.0015380551485577598, 0.00026517442893236876, 1.754025862068965, 1.09713559322034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3499999999999999, 0.0, 0.0, 0.0, 0.0, 0.0]",16,0.35,Vi: Special offer! 100GB at INR 339/month. Activate now: http://vi-offer9733464975.com,Uttar Pradesh,general,telecom_offer,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
b3a1508e-38e8-46cc-85e6-c7a21e87dc3d,micro,macro-4,"[-0.09010480344295502, 0.6135855146816799, -0.06943169449056898, -0.2499914371541568, -0.05130868272057602, 0.04692807900054114, 0.04065915383398533, 0.1802487767168454, -0.09495969116687775, -0.044278750994375775, -0.2272468145404543, 0.1407060745571341, -0.010156767941745264, -0.1512099222413131, -0.000633226175393377, 0.07675747599984918, -0.07650039345026016, 0.005811475616480623, -0.02037996319787843, -0.04804915189743042, -0.0859569465475423, 0.01629590309624161, 0.023242425240044082, -0.022876073207174028, 0.031746008300355504, 0.04685898258217743, -0.019654608464666774, 0.005569105169602803, -0.03348335790048753, -0.0020385306561365724, 0.04975959771711912, 0.0017326483502984047, -0.019536975239004408, -0.0005476152125213828, -0.005542461228157792, 0.01357828825712204, -0.025701060758105347, -0.0167380630570863, -0.006455293989607266, -0.004919230405773435, -0.010238275464091982, 0.01472652650305203, 0.01242663006165198, -0.009184228655483042, 0.031449245022875924, 0.02999474507357393, 0.031674018927982876, 0.013157639386398452, -0.011433550123391407, -0.01067894125091178, -0.011570012995174952, 0.03851180151104927, 0.010183363354631833, 0.0049813320594174525, 0.0057771820574998856, -0.009432227151202304, 0.019144972786307335, -0.02003346543226923, 0.0006366853735276631, 0.011553071705358369, 0.014158735850027629, -0.0005327263580901283, -0.0021825645651136127, 0.004797876280333314, -0.0025895327728773865, 0.016702374975596155, -0.011109141849114426, 0.012331763149372168, -0.0037147036221410546, -0.01173217301922185, -0.0008493937285883087, -0.0020737483033112115, -0.011349661242482918, 0.001309386853660856, 1.0841379310344832, 0.4133644067796612, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0]",14,0.35,Income Tax: You have pending refund of INR 212. Claim now: http://tax-refund322.in,Maharashtra,general,tax_refund,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
f2bd2bb4-dd37-428b-a21b-2971db7d2108,micro,macro-3,"[-0.25212519615888596, -0.24743807315826416, 0.2710178755223751, 0.28434335812926287, 0.06749007540444533, -0.20551862319310507, 0.14207871382435158, 0.1166845727711916, -0.06679544116680822, -0.47060254216194153, -0.01803951570764184, 0.060302622616291046, 0.03497075755149126, -0.055877414221564926, 0.10068161599338055, -0.07796122739091516, -0.09057065068433683, 0.07541524960349001, -0.03927417999754349, 0.03569168100754421, -0.027698835590854287, -0.010899500921368599, -0.02939026600991686, -0.05690416942040125, -0.0364515461648504, -0.015691225416958332, -0.018318983260542154, 0.006568588005999724, 0.013971243247700235, -0.020833915448747575, 0.002281929696133981, -0.010465026968934884, 0.014449843050291141, 0.011337544613828262, 0.00429012841777876, 0.020094603144874174, 0.01952634065916451, 0.005616100272163749, 0.0022895562772949534, -0.005944165090719859, -0.0065741272022326784, 0.006030052589873473, 0.013392380128304163, -0.012190302290643254, -0.0018442838918417692, 0.007603925342361133, -0.004735850108166535, -0.009461805340833962, -0.002033685838493208, -0.0021865094313398004, 0.00043489644303917885, -0.009123579715378582, -0.011754129392405352, 0.001423504203557968, 0.00821912552540501, -0.003694420758013924, -0.0023469535323480764, 0.0007646259230871996, -0.003989148341740171, 0.006338480782384672, 0.0007219895875702301, 0.0020338476557905474, -0.0006851858925074339, 0.0022137265186756845, 0.0039664264768362045, -0.003088628718008598, -0.001826934952987358, 0.006739900757869086, 0.001962279590467612, -0.00039457809180021286, -0.0015686126425862312, 0.004357658326625825, -0.00011765620244356494, 0.0025274733391900854, 1.9668742816091955, 0.7518421610169491, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3499999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",24,0.35,Vi: Special offer! 100GB at INR 654/month. Activate now: http://vi-offer9221576611.com,Delhi,general,telecom_offer,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
c512a260-0b64-4071-9960-742362fcd4cc,micro,macro-4,"[-0.0884793907403946, 0.6125427901744842, -0.07438017781823873, -0.25094427168369293, -0.041622130665928125, 0.04767952375113964, 0.0470261262729764, 0.1819862723350525, -0.10263151042163372, -0.03929877243936061, -0.21914409175515176, 0.14776314720511435, 0.0024328602012246843, -0.14657439216971396, -0.010627922508865595, 0.0699750216677785, -0.06555682681500911, -0.002607259526848793, -0.013463383726775646, -0.03355833664536476, -0.09526166617870331, 0.023470020201057196, 0.024355351738631726, -0.024801966920495033, 0.044319446012377736, 0.046193654835224154, -0.03078928906470537, 0.009940865263342858, -0.014919654349796474, -0.0038466195459477604, 0.05334929008968174, 0.01901678249705583, -0.014085105992853642, -0.011089233914390203, 0.0005231179762631658, 0.014600854739546776, -0.02597888814052567, -0.02166255679912865, -0.015326782129704952, -0.007133802771568299, -0.004048069193959236, 0.0005955373868346215, 0.00757479309104383, -0.014462754223495721, 0.030570701323449613, 0.024267760524526238, 0.03135967552661896, 0.016337394434958696, -0.013000024971552194, -0.003034226316958666, -0.0008971944451332092, 0.026642694510519503, 0.014417360164225101, 0.009667645022273064, 0.011813600920140744, -0.0003284551668912172, 0.013159000314772129, -0.00616867383942008, 0.007549454178661108, -0.004496964160352945, 0.016915431059896947, 0.011056889221072197, 0.0015746389050036668, 0.009101591538637877, 0.005668603349477053, 0.0198589576408267, -0.003632917278446257, 0.006746942363679409, -0.006296451762318611, -0.005449250899255275, -0.0025717596523463725, -0.007978651858866214, -0.025308767205569894, -0.013479690719395875, 0.9080586206896555, 0.9619677966101691, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3499999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",20,0.35,Income Tax: You have pending refund of INR 354. Claim now: http://tax-refund897.in,Telangana,general,tax_refund,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
84f71041-32e7-4a9d-9ffd-604629c52717,micro,macro-3,"[-0.2579676096255963, -0.2488216860936239, 0.26669940581688517, 0.2853389084339142, 0.06591022816988137, -0.20728911000948685, 0.14051850483967707, 0.12206286306564625, -0.05988502645721802, -0.47181151004937977, -0.023357512715917367, 0.0553165811758775, 0.03170412234388865, -0.058280035853385925, 0.1061004543533692, -0.08062689264233296, -0.09498343903284806, 0.07161931063120182, -0.04241030262066768, 0.035808258904860564, -0.0238158072416599, -0.013849313442523662, -0.030227775040727396, -0.057672228377598986, -0.03979525227959339, -0.02124760701106145, -0.019653595410860505, 0.0049177832328356225, 0.012009680987550663, -0.021974213833275896, -0.0004281786342079823, -0.005998827445392425, 0.014465577040727321, 0.012430506830032054, 0.007894091809598299, 0.01610171852203516, 0.01930774099086053, 0.004304886580659793, -0.0008421735121653633, -0.009398240309495192, -0.009172523250946632, 0.006201427716475267, 0.01071910087305766, -0.008988692640111996, -4.4484121295122e-05, 0.0015935773173203836, 0.00050921136370072, -0.005941250433142369, 6.43279546728501e-05, -0.0010618305980012966, 0.0009845483761567336, -0.007224304529909904, -0.003364420854128324, -0.0005638782794658954, 0.005904475656839518, 0.001226291132087891, 0.0013251167077284593, -0.0005066274450375483, -0.006778110176897966, 0.01525301171036867, 0.001757691829250409, -0.00331774246520721, -0.0002990088497216885, 0.005818309405675301, 0.0034830565922535383, -0.0005943411244795873, 0.0025748685718728946, 0.006753492097441967, 0.00508688332942816, 0.0016111522339857542, -0.0015166741437636889, 0.002048866608395026, -0.0025400070007890463, -0.00013811055284280045, 0.5637904509283819, 0.9526636245110823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0]",13,0.35,Vi: Special offer! 100GB at INR 679/month. Activate now: http://vi-offer7415406403.com,Tamil Nadu,general,telecom_offer,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
527d9e1d-8ef7-4ca0-b23d-979d1fb26830,micro,macro-5,"[-0.6269789380686623, -0.08415252928222929, -0.047371004042880874, 0.03459564436759267, -0.23880081623792648, -0.004188313015869686, -0.36562385303633554, 0.03063276330275195, -0.2231316098145076, 0.008371933230331965, 0.0676039100757667, 0.16438823406185424, -0.01649476714166147, 0.0017281611050878251, -0.17651217537266867, -0.020201402516769513, 0.11945918308837074, 0.03405128685491426, 0.13107830073152268, -0.019998670954789435, 0.022324736097029278, -0.08361321581261498, -0.004112474154680967, -0.023995852896145413, 0.0059453946139131275, 0.010924201990876879, -0.0055407751351594925, -0.047099358801330836, -0.0023553334176540375, 0.004076159900120858, -0.03441796771117619, -0.007267931908635158, -0.007062465484653201, 0.00783249962010554, 0.03301799510206495, -0.006922801158257893, -0.006917706873667028, 0.004387781290071351, -0.01871924102306366, 0.0009734449642045156, 0.008622634623731886, -0.007615071056144578, 0.022697362250515392, 0.002798678885613169, -0.002043017518839666, 0.0092056096930589, -0.004228803196123668, 0.0036265478868569645, 0.0020255123132041524, 0.018288990881826197, 0.001024145632982254, -0.015478237798171384, 0.0031594490366322653, -8.250666516167777e-05, -0.00407301022538117, -0.0007679668654288564, -0.0068951621651649475, -0.0017412294234548295, 0.015542068917836462, 0.004572501006935324, -0.008118811994791031, -0.005158442139093365, -0.0037152920184390886, -0.01246384038989033, 0.0025542487523385455, -0.00046330104981149944, 0.004695061594247818, -0.0075541479246956965, 0.0006437849120369979, -0.00029953116817133766, 0.002959687794957842, 0.004979228866951806, 0.001076163724064827, -0.007026067269699914, 1.933316502463054, 0.7420762711864409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0]",14,0.35,Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion588.in,Delhi,general,ecommerce_discount,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
a5853701-dfcb-4ee4-8ee7-be05f0d8d693,micro,macro-2,"[-0.2945844026712271, -0.18893406597467569, -0.48862192263970006, -0.293059589771124, 0.2497409559213198, 0.243553665968088, 0.20510627100100884, 0.25475698365614974, 0.14235662267758295, -0.09026083522118054, 0.15015815771543062, 0.09729124433719195, -0.02775292141506305, 0.13528451782006484, 0.11671622899862436, -0.07349649300942054, 0.0814039437816693, 0.025898705308253948, 0.015817273694735307, -0.06525382915368447, -0.023377073785433404, -0.04295537420190298, -0.02962152287364006, 0.090199775993824, 0.016232734689345725, 0.02106847556737753, 0.0506002579170924, 0.029546636801499587, -0.010358384738747891, -0.0018290919072639484, 0.015216100960969925, -0.002424785437492224, -0.001959274522960186, -0.014593422842713503, 0.020372057047027808, 0.04938651764622101, -0.020802007629894294, 0.005073705401558142, -0.0024747269657941964, -0.017431611051926248, 0.008689494087145876, -0.012813418530500852, -0.0004575837116975051, -0.00754259956570772, -0.00550750048401264, -0.012796973021557698, -0.019452220258804467, -0.011157054024247022, 0.002855745000908008, -0.011307467061739702, 0.015025434012596425, 0.0074164795760925, -0.00034275765602405253, -0.0053385702463296745, 0.015795317406837758, -0.004160869436768385, -0.0029014308865253744, 0.009357848706153723, -0.005071905871423392, 0.007807420709958443, -0.007113939294448266, 0.003732414343036138, -0.0038960031591928923, 0.001934242219879077, -6.242655217647552e-05, -0.003799822754584826, -0.006726995683633364, -0.005818885249587206, 0.007174282513845425, -0.0075135649396823, 0.0016002549001803766, -0.001246796204493596, 0.0002398648872398413, -0.0021877996623516083, 1.7540258620689653, 1.09713559322034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0]",13,0.35,Amazon: You won iPhone 15! Claim now: http://amazon-gift503.in,Uttar Pradesh,general,ecommerce_discount,2026-07-15T21:41:58.743093+00:00,2026-07-15T21:41:58.743093+00:00
